index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,weaBus.HDifHor,weaBus.TDryBul,thermalZone.TAir,totalHeatingPower.y,u
0,0,1,0,0.0,0.0,20.0,0.0,277.22999999999996,293.15,7508.3322076486975,0.9126213592233009
1,300,1,300,0.0,0.0,20.0,0.0,277.25013364438655,294.76355358199015,8148.376553064464,0.9904173496406518
2,600,1,600,0.0,0.0,20.0,0.0,277.2697410300926,295.8236583407866,8145.264506004096,0.9900390871264669
3,900,1,900,0.0,0.0,20.0,0.0,277.2888818359375,296.4106786403134,8152.525949144947,0.9909216996595638
4,1200,1,1200,0.0,0.0,20.0,0.0,277.30761574074074,296.7489978268334,927.390023989768,0.11272222922708366
5,1500,1,1500,0.0,0.0,20.0,0.0,277.3260024233217,294.95059034094834,68.46503532810367,0.00832177531206658
6,1800,1,1800,0.0,0.0,20.0,0.0,277.3441015625,293.7516875813517,71.57708238847202,0.008700037826251424
7,2100,1,2100,0.0,0.0,20.0,0.0,277.36197283709487,293.10564107127374,68.46503532810367,0.00832177531206658
8,2400,1,2400,0.0,0.0,20.0,0.0,277.3796759259259,292.7511871755907,7741.735737176324,0.9409910477871642
9,2700,1,2700,0.0,0.0,20.0,0.0,277.3972705078125,294.67462631618946,8210.617494271832,0.9979825999243487
10,3000,1,3000,0.0,0.0,20.0,0.0,277.41481626157406,295.8441747881592,8180.534372688261,0.9943260622872273
11,3300,1,3300,0.0,0.0,20.0,0.0,277.43237286603005,296.4760156771295,8120.368129521149,0.9870129870129881
12,3600,1,3600,0.0,0.0,20.0,0.0,277.45,296.81229047406146,8120.368129521149,0.9870129870129881
13,3900,1,3900,0.0,0.0,20.0,0.0,277.46751139322913,297.0097775181474,8115.181384420525,0.9863825494893456
14,4200,1,4200,0.0,0.0,20.0,0.0,277.4846366003788,297.126389466091,8108.95729029979,0.9856260244609759
15,4500,1,4500,0.0,0.0,20.0,0.0,277.50130903764205,297.20140678074836,8078.874168716234,0.9819694868238563
16,4800,1,4800,0.0,0.0,20.0,0.0,277.5174621212121,297.24644753110397,691.9117964218968,0.08410036565376383
17,5100,1,5100,0.0,0.0,20.0,0.0,277.5330292672822,295.241488553258,59.128894146998626,0.007186987769512046
18,5400,1,5400,0.0,0.0,20.0,0.0,277.54794389204545,293.98230273187494,65.35298826773533,0.007943512797881734
19,5700,1,5700,0.0,0.0,20.0,0.0,277.56213941169506,293.29634436229196,62.24094120736697,0.00756525028369689
