index,seconds_of_day,day_of_year,timestamp,weaBus.HDirNor,totalHeatingPower.y,thermalZone.TAir,weaBus.TDryBul,weaDat.weaBus.HGloHor,weaBus.HDifHor,roomTempUpperSetpoint,u
0,0,1,0,0.0,15927.254670099761,293.15,271.82,0.0,0.0,21.0,0.9126213592233009
1,300,1,300,0.0,17284.966210781124,297.2037440431973,271.8280908161068,0.0,0.0,21.0,0.9904173496406516
2,600,1,600,0.0,17278.364695996614,299.326721797005,271.8357342807924,0.0,0.0,21.0,0.9900390871264669
3,900,1,900,0.0,17293.768230493788,300.2534231961349,271.84298691860465,0.0,0.0,21.0,0.9909216996595638
4,1200,1,1200,0.0,1967.2514057846363,300.68164998763194,271.84990525409125,0.0,0.0,21.0,0.11272222922708366
5,1500,1,1500,0.0,145.23332525926844,296.17419901027574,271.8565458118002,0.0,0.0,21.0,0.00832177531206658
6,1800,1,1800,0.0,151.83484004378064,293.7015702145104,271.86296511627904,0.0,0.0,21.0,0.008700037826251424
7,2100,1,2100,0.0,145.23332525926844,292.57111888037286,271.8692196920758,0.0,0.0,21.0,0.00832177531206658
8,2400,1,2400,0.0,16422.36827893818,291.96598513745744,271.8753660637381,0.0,0.0,21.0,0.9409910477871644
9,2700,1,2700,0.0,17416.99650647137,296.5841806039276,271.8814607558139,0.0,0.0,21.0,0.9979825999243487
10,3000,1,3000,0.0,17353.181863554397,298.7165524552469,271.887560292851,0.0,0.0,21.0,0.9943260622872273
11,3300,1,3300,0.0,17225.552577720515,299.55517217473385,271.893721199397,0.0,0.0,21.0,0.9870129870129881
12,3600,1,3600,0.0,17225.552577720515,299.85414245538846,271.9,0.0,0.0,21.0,0.9870129870129881
13,3900,1,3900,0.0,17214.55005307964,299.97148279043813,271.90602887294085,0.0,0.0,21.0,0.9863825494893456
14,4200,1,4200,0.0,17201.347023510618,300.00690886094185,271.911429869186,0.0,0.0,21.0,0.9856260244609759
15,4500,1,4500,0.0,17137.532380593675,300.0029515427226,271.916244322311,0.0,0.0,21.0,0.9819694868238563
16,4800,1,4800,0.0,1467.7367870898809,299.9667273158702,271.92051356589144,0.0,0.0,21.0,0.08410036565376383
17,5100,1,5100,0.0,125.42878090573184,295.1236856543716,271.9242789335029,0.0,0.0,21.0,0.007186987769512046
18,5400,1,5400,0.0,138.63181047475624,292.63596632006835,271.9275817587209,0.0,0.0,21.0,0.007943512797881734
19,5700,1,5700,0.0,132.03029569024403,291.4922079959603,271.9304633751211,0.0,0.0,21.0,0.00756525028369689
20,6000,1,6000,0.0,15682.99862307281,290.88495361018937,271.93296511627904,0.0,0.0,21.0,0.8986256461984616
21,6300,1,6300,0.0,17020.905619400637,295.28379069961403,271.9351283157703,0.0,0.0,21.0,0.975286849073258
22,6600,1,6600,0.0,17023.106124328788,297.44794699390184,271.9369943071705,0.0,0.0,21.0,0.9754129365779851
23,6900,1,6900,0.0,16983.497035621716,298.3351568868393,271.9386044240552,0.0,0.0,21.0,0.9731433614928762
24,7200,1,7200,0.0,16965.89299619636,298.69948803760593,271.94,0.0,0.0,21.0,0.9721346614550503
25,7500,1,7500,0.0,16952.689966627335,298.8577313749406,271.93760844713745,0.0,0.0,21.0,0.9713781364266807
26,7800,1,7800,0.0,16921.882897632953,298.93123465196527,271.9282494668635,0.0,0.0,21.0,0.9696129113604852
27,8100,1,8100,0.0,16899.877848351236,298.95860042773694,271.9125528266486,0.0,0.0,21.0,0.9683520363132019
28,8400,1,8400,0.0,16886.674818782212,298.96842462678234,271.8911482939632,0.0,0.0,21.0,0.9675955112848322
29,8700,1,8700,0.0,16957.090976483665,298.97182084107527,271.8646656362779,0.0,0.0,21.0,0.9716303114361367
30,9000,1,9000,0.0,16913.08087792026,298.9962962589832,271.83373462106294,0.0,0.0,21.0,0.9691085613415715
31,9300,1,9300,0.0,16957.090976483665,298.9938823214313,271.798985015789,0.0,0.0,21.0,0.9716303114361367
32,9600,1,9600,0.0,1789.0105066028068,299.0060627238877,271.7610465879265,0.0,0.0,21.0,0.10250914134409286
33,9900,1,9900,0.0,140.83231540292707,294.3544240428815,271.72054910494586,0.0,0.0,21.0,0.008069600302610022
34,10200,1,10200,0.0,158.43635482829285,291.8706368362397,271.67812233431755,0.0,0.0,21.0,0.009078300340436269
35,10500,1,10500,0.0,156.235849900122,290.74552961751147,271.63439604351214,0.0,0.0,21.0,0.00895221283570798
36,10800,1,10800,0.0,16083.490519999903,290.16436534759544,271.59,0.0,0.0,21.0,0.92157357205901
37,11100,1,11100,0.0,17315.773279775505,294.7093547581299,271.535403277293,0.0,0.0,21.0,0.9921825747068471
38,11400,1,11400,0.0,17267.36217135574,296.91641611980657,271.46326913527696,0.0,0.0,21.0,0.9894086496028245
