,beta
0,0.5099030141116231
1,0.5099030141116231
2,0.5099030141116231
3,0.5099030141116231
4,0.9330152697264189
5,0.4861770598998296
6,0.6278439673928516
7,1.3309272833484476
8,0.7593226869040596
9,0.7593569542209964
10,0.7593569542209964
11,0.9144939938613474
12,0.6371499279832826
13,0.5004862762902811
14,0.957435647319804
15,0.9735359762394534
16,0.9735359762394534
17,1.2198641911801043
18,1.1590242188033062
19,1.6610456658606307
20,1.7728220847793574
21,1.8511433804584292
22,1.5597848114606212
23,1.339995945406907
24,0.906706929974906
25,0.906706929974906
26,0.906706929974906
27,0.521252171344464
28,0.5577270462196479
29,0.5577270462196479
30,0.4906877170905848
31,0.34639688598419893
32,0.34639688598419893
33,0.4496535151231155
34,0.5030224278827814
35,0.5030224278827814
36,0.6793624738527839
37,0.6793624738527839
38,0.7198821711965355
39,0.7099645737907909
40,0.8969426314361942
41,0.7896208164206421
42,0.7896208164206421
43,1.2047856852114283
44,1.103807164933082
45,1.4194114386739116
46,1.4194114386739116
47,1.2984727916543237
48,0.9030193449992747
49,0.5606927864744911
50,0.6156564211871016
51,0.6156564211871016
52,0.6156564211871016
53,0.6156564211871016
54,0.6156564211871016
55,0.6156564211871016
56,0.900860922577113
57,1.3519436492587826
58,1.2386373507487574
59,1.6556859601501153
60,1.710552515031749
61,1.3231895101361677
62,1.784382321795059
63,1.5075523092552359
64,1.3644390232967094
65,1.192165262575918
66,0.9837085548044529
67,0.9837085548044529
68,0.8292002025392904
69,0.8292002025392904
70,0.6288418947045537
71,0.7497410941044567
72,0.7353798062515002
73,0.4517525883072408
74,0.4791365885776032
75,0.4791365885776032
76,0.4791365885776032
77,0.4791365885776032
78,0.5083429096128887
79,0.5083429096128887
80,0.49606697534922584
81,0.6782561849510513
82,0.7824683013538278
83,0.7824683013538278
84,0.7013287241307686
85,0.6523891320536681
86,0.5315684046670021
87,0.39935729505759043
88,0.39935729505759043
89,0.39935729505759043
90,0.47729645062344667
91,0.47729645062344667
92,0.8053645502330733
93,0.8835481686742246
94,0.4861806069765012
95,0.4861806069765012
96,0.4861806069765012
97,0.7518271729100805
98,0.8621771359073745
99,1.3293886092971992
100,1.0852394235966107
101,1.231985160715298
102,1.231985160715298
103,1.1983864274180014
104,0.9558476763653089
105,1.5111865674046916
106,1.8123367087228368
107,1.6845458421328836
108,1.6845458421328836
109,1.6845458421328836
110,1.4637039149469662
111,1.4637039149469662
112,1.4637039149469662
113,1.634178027053739
114,1.634178027053739
115,1.4988283057102165
116,1.038679707502928
117,0.7735561399134071
118,0.9440684542800533
119,0.7150684635949768
120,0.7150684635949768
121,0.7150684635949768
122,0.7150684635949768
123,0.8060919791769958
124,0.42306844909844926
125,0.42306844909844926
126,0.42306844909844926
127,0.9548075310431674
128,0.6184539032275632
129,0.7487348931349957
130,0.4674776682957978
131,0.8222726708828989
132,0.9434236627463018
133,1.39247296289874
134,1.5689571696099134
135,1.5251176748706001
136,1.4426981377420294
137,1.7728775784527335
138,1.7728775784527335
139,1.9057269470060707
140,1.2273150996112514
141,1.2273150996112514
142,1.1151737628397629
143,0.5920767487707661
144,0.5920767487707661
145,1.0172463305454873
146,1.0559469659427043
147,1.2093599376720412
148,1.205662101300282
149,1.3256656103428426
150,0.5712901594137982
151,0.5712901594137982
152,0.5712901594137982
153,0.40227431662781943
154,0.40227431662781943
155,0.5960539698582887
156,0.5960539698582887
157,0.5399370810519584
158,0.7025370953431613
159,0.7025370953431613
160,0.7025370953431613
161,0.8050586501136361
162,0.4243353006855875
163,0.7248012114109886
164,0.7248012114109886
165,0.9487116419192281
166,0.8949867944621336
167,0.8949867944621336
168,0.8607937762437419
169,1.228691047138748
170,1.228691047138748
171,1.5392103282076501
172,1.1229875200276327
173,1.0255954402816956
174,1.3036642232047737
175,1.3036642232047737
176,1.459076165535277
177,1.529009198431482
178,1.7079942354117477
179,1.8230256014056103
180,1.568987194560556
181,1.647568411238377
182,1.647568411238377
183,1.647568411238377
184,1.5772608564257324
185,1.5772608564257324
186,1.5772608564257324
187,1.4176275438995292
188,1.4176275438995292
189,1.3637852898323684
190,1.7554124480073932
191,1.997254526083506
192,1.997254526083506
193,1.6447102165604353
194,1.2065820652415042
195,1.0783082955463885
196,0.8853898121301917
197,0.7477456157885402
198,1.0645253260151248
199,1.0645253260151248
200,0.8706378669753787
201,1.1396170671174013
202,0.8694899745870297
203,0.8694899745870297
204,0.45576256650013625
205,0.5134016780997066
206,0.5134016780997066
207,0.5134016780997066
208,0.5134016780997066
209,0.6231724797663386
210,1.005541144397202
211,0.9023322680417312
212,1.0163386517762654
213,1.7254347715351304
214,1.7254347715351304
215,1.6984671665439917
216,1.7639830489952184
217,1.8049880278785269
218,1.5265639004886917
219,1.1198798815066677
220,1.1198798815066677
221,0.6452971254156307
222,0.5619962709845412
223,0.5619962709845412
224,0.9947609502494544
225,0.877350221314623
226,0.877350221314623
227,1.084079663343137
228,1.084079663343137
229,0.9875682446687787
230,0.9875682446687787
231,0.9875682446687787
232,0.9229832291382563
233,1.1872769977788664
234,1.2818860529842295
235,0.8850090798023273
236,1.1001452194963028
237,1.1322348517251037
238,1.1141482639109763
239,0.9546419575511633
240,1.2912405545420675
241,1.8016491094541065
242,1.8400830788269262
243,1.8877189246067068
244,1.8877189246067068
245,1.823808086478306
246,1.823808086478306
247,1.5550473723533234
248,1.4486193057712107
249,1.5486347255885782
250,1.8925252577732719
251,1.8925252577732719
252,1.8925252577732719
253,1.719290378323914
254,1.719290378323914
255,1.8083505782809404
256,1.9778678868183728
