,UExt,URoof,UFloor,UWin,heatCapacity_wall,fAWin_south,fAWin_east,fAWin_west,fAWin_north,zone_length,weaDat.fileName,changes,UpperSP,LowerSP
0,0.5,0.5,0.5,1.5,80000,0.16,0.16,0.16,0.16,7,Berlin,[],21.0,21.0
1,1.1,1.1,1.1,2.1,200000,0.19,0.19,0.19,0.19,10,Brussels,[],22.5,21.0
