,T_in,T_out,heatPower,HGloHor
0,290.0,264.75,5000.0,0.0
1,288.86065673828125,264.75,5000.0,0.0
2,288.10555029027876,264.75,5000.0,0.0
3,287.53403481219146,264.75,5000.0,0.0
4,287.06864696037,264.75,5000.0,0.0
5,286.6766414337964,264.75,5000.0,0.0
6,286.3418785612193,264.75,5000.0,0.0
7,286.05470449932176,264.75,5000.0,0.0
8,285.80826770518826,264.75,5000.0,0.0
9,285.5971427053755,264.75,5000.0,0.0
10,285.41678546861294,264.75,5000.0,0.0
11,285.2632924109281,264.75,5000.0,0.0
12,285.1332736464014,264.75,5000.0,0.0
13,285.02377212115204,264.75,5000.0,0.0
14,284.9322035810068,264.75,5000.0,0.0
15,284.8563078712055,264.75,5000.0,0.0
16,284.7941076886194,264.75,5000.0,0.0
17,284.74387297555137,264.75,5000.0,0.0
18,284.7040899361008,264.75,5000.0,0.0
19,284.67343398540083,264.75,5000.0,0.0
20,284.65074610034526,264.75,5000.0,0.0
21,284.6350121325703,264.75,5000.0,0.0
22,284.6253447085302,264.75,5000.0,0.0
23,284.6209673916573,264.75,5000.0,0.0
24,284.6212008233717,265.54998779296875,5000.0,0.0
25,284.6254505955065,265.54998779296875,5000.0,0.0
26,284.633650468837,265.54998779296875,5000.0,0.0
27,284.6452862289683,265.54998779296875,5000.0,0.0
28,284.6599082776025,265.54998779296875,5000.0,0.0
29,284.67712337530463,265.54998779296875,5000.0,0.0
30,284.6965875346297,265.54998779296875,5000.0,0.0
31,284.717999843499,265.54998779296875,5000.0,0.0
32,284.7410970753303,265.54998779296875,5000.0,0.0
33,284.76564897789444,265.54998779296875,5000.0,0.0
34,284.7914541526297,265.54998779296875,5000.0,0.0
35,284.81833644941037,265.54998779296875,5000.0,0.0
36,284.84614181193496,266.04998779296875,5000.0,0.0
37,284.87473551728226,266.04998779296875,5000.0,0.0
38,284.90428340475336,266.04998779296875,5000.0,0.0
39,284.93464547623773,266.04998779296875,5000.0,0.0
40,284.9656994951787,266.04998779296875,5000.0,0.0
41,284.9973386518016,266.04998779296875,5000.0,0.0
42,285.02946959429084,266.04998779296875,5000.0,0.0
43,285.0620107324462,266.04998779296875,5000.0,0.0
44,285.0948907627254,266.04998779296875,5000.0,0.0
45,285.1280473809263,266.04998779296875,5000.0,0.0
46,285.16142615689245,266.04998779296875,5000.0,0.0
47,285.19497955022587,266.04998779296875,5000.0,0.0
48,285.2286660491144,266.3500061035156,5000.0,0.0
49,285.26244941679477,266.3500061035156,5000.0,0.0
50,285.2964682188181,266.3500061035156,5000.0,0.0
51,285.33067267454845,266.3500061035156,5000.0,0.0
52,285.3650194214657,266.3500061035156,5000.0,0.0
53,285.3994706436594,266.3500061035156,5000.0,0.0
54,285.43399335376444,266.3500061035156,5000.0,0.0
55,285.46855878051775,266.3500061035156,5000.0,0.0
56,285.5031418385092,266.3500061035156,5000.0,0.0
57,285.5377206662035,266.3500061035156,5000.0,0.0
58,285.5722762224008,266.3500061035156,5000.0,0.0
59,285.6067919333679,266.3500061035156,5000.0,0.0
60,285.64125338414556,266.54998779296875,5000.0,0.0
61,285.67564804845205,266.54998779296875,5000.0,0.0
62,285.71007851010734,266.54998779296875,5000.0,0.0
63,285.74452054188896,266.54998779296875,5000.0,0.0
64,285.77895310404,266.54998779296875,5000.0,0.0
65,285.813357899462,266.54998779296875,5000.0,0.0
66,285.84771901418924,266.54998779296875,5000.0,0.0
67,285.88202261338876,266.54998779296875,5000.0,0.0
68,285.9162566791286,266.54998779296875,5000.0,0.0
69,285.95041078225915,266.54998779296875,5000.0,0.0
70,285.9844758832772,266.54998779296875,5000.0,0.0
71,286.0184441582401,266.54998779296875,5000.0,0.0
72,286.052308846491,266.75,5000.0,0.0
73,286.08606411742977,266.75,5000.0,0.0
74,286.1198184117027,266.75,5000.0,0.0
75,286.1535526248608,266.75,5000.0,0.0
76,286.1872501975783,266.75,5000.0,0.0
77,286.2208967510984,266.75,5000.0,0.0
78,286.25447979793586,266.75,5000.0,0.0
79,286.2879884993317,266.75,5000.0,0.0
80,286.3214134567989,266.75,5000.0,0.0
81,286.3547465310639,266.75,5000.0,0.0
82,286.3879806841109,266.75,5000.0,0.0
83,286.42110984113333,266.75,5000.0,0.0
84,286.4541287697929,266.6499938964844,5000.0,0.0
85,286.48703297458644,266.6499938964844,5000.0,0.0
86,286.519761875535,266.6499938964844,5000.0,0.0
87,286.55231958447274,266.6499938964844,5000.0,0.0
88,286.58470974453536,266.6499938964844,5000.0,0.0
89,286.6169356114535,266.6499938964844,5000.0,0.0
90,286.6490001098362,266.6499938964844,5000.0,0.0
91,286.68090587711896,266.6499938964844,5000.0,0.0
92,286.71265530012886,266.6499938964844,5000.0,0.0
93,286.7442505464066,266.6499938964844,5000.0,0.0
94,286.7756935913756,266.6499938964844,5000.0,0.0
95,286.8069862420328,266.6499938964844,5000.0,0.0
96,286.83813015765014,266.75,5000.0,239.641845703125
97,286.8877905627436,266.75,5000.0,239.641845703125
98,286.9356620353405,266.75,5000.0,239.641845703125
99,286.98195900316017,266.75,5000.0,239.641845703125
100,287.0268620966617,266.75,5000.0,239.641845703125
101,287.07052693609654,266.75,5000.0,239.641845703125
102,287.11308888590133,266.75,5000.0,239.641845703125
103,287.15466616698245,266.75,5000.0,239.641845703125
104,287.1953622058662,266.75,5000.0,239.641845703125
105,287.23526755669974,266.75,5000.0,239.641845703125
106,287.2744615354078,266.75,5000.0,239.641845703125
107,287.3130136326587,266.75,5000.0,239.641845703125
108,287.3509847442322,266.75,5000.0,546.2411499023438
