index,seconds_of_day,day_of_year,timestamp,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,weaBus.HDirNor,weaBus.TDryBul,u
0,0,1,0,6257.980589625691,293.15,0.0,0.0,22.0,0.0,271.82,0.912621359223301
1,300,1,300,6791.439283159693,294.972866414854,0.0,0.0,22.0,0.0,271.8280908161068,0.9904173496406518
2,600,1,600,6788.845480760015,296.0800097440971,0.0,0.0,22.0,0.0,271.8357342807924,0.9900390871264669
3,900,1,900,6794.897686359258,296.62832684693024,0.0,0.0,22.0,0.0,271.84298691860465,0.9909216996595638
4,1200,1,1200,772.9531151043619,296.9126876029416,0.0,0.0,22.0,0.0,271.84990525409125,0.11272222922708366
5,1500,1,1500,57.06365279293947,294.67657839964886,0.0,0.0,22.0,0.0,271.8565458118002,0.00832177531206658
6,1800,1,1800,59.657455192618535,293.3143770010108,0.0,0.0,22.0,0.0,271.86296511627904,0.008700037826251424
7,2100,1,2100,57.06365279293947,292.65392851766086,0.0,0.0,22.0,0.0,271.8692196920758,0.00832177531206658
8,2400,1,2400,6452.515769601621,292.3262574710562,0.0,0.0,22.0,0.0,271.8753660637381,0.9409910477871644
9,2700,1,2700,6843.315331153275,294.69716495186617,0.0,0.0,22.0,0.0,271.8814607558139,0.9979825999243487
10,3000,1,3000,6818.241907956369,296.01021813987415,0.0,0.0,22.0,0.0,271.887560292851,0.9943260622872272
11,3300,1,3300,6768.095061562582,296.64737690439165,0.0,0.0,22.0,0.0,271.893721199397,0.9870129870129881
12,3600,1,3600,6768.095061562582,296.94920404818447,0.0,0.0,22.0,0.0,271.9,0.9870129870129881
13,3900,1,3900,6763.772057563108,297.1119660894693,0.0,0.0,22.0,0.0,271.90602887294085,0.9863825494893456
14,4200,1,4200,6758.584452763751,297.2001933609248,0.0,0.0,22.0,0.0,271.911429869186,0.9856260244609759
15,4500,1,4500,6733.511029566857,297.25518428943803,0.0,0.0,22.0,0.0,271.916244322311,0.9819694868238563
16,4800,1,4800,576.6887335286464,297.2859380317425,0.0,0.0,22.0,0.0,271.92051356589144,0.08410036565376384
17,5100,1,5100,49.28224559390227,294.8674378016152,0.0,0.0,22.0,0.0,271.9242789335029,0.007186987769512046
18,5400,1,5400,54.4698503932604,293.49353748979763,0.0,0.0,22.0,0.0,271.9275817587209,0.007943512797881734
19,5700,1,5700,51.87604799358133,292.8250999067594,0.0,0.0,22.0,0.0,271.9304633751211,0.00756525028369689
20,6000,1,6000,6162.0099008375655,292.4882323246172,0.0,0.0,22.0,0.0,271.93296511627904,0.8986256461984616
21,6300,1,6300,6687.687187172532,294.73805277300676,0.0,0.0,22.0,0.0,271.9351283157703,0.9752868490732581
22,6600,1,6600,6688.551787972416,296.04231851383946,0.0,0.0,22.0,0.0,271.9369943071705,0.9754129365779851
23,6900,1,6900,6672.988973574342,296.6818843061082,0.0,0.0,22.0,0.0,271.9386044240552,0.9731433614928761
24,7200,1,7200,6666.072167175201,296.99513796576565,0.0,0.0,22.0,0.0,271.94,0.9721346614550502
25,7500,1,7500,6660.884562375843,297.1542163063736,0.0,0.0,22.0,0.0,271.93760844713745,0.9713781364266807
26,7800,1,7800,6648.780151177345,297.24009025407867,0.0,0.0,22.0,0.0,271.9282494668635,0.9696129113604853
