index,seconds_of_day,day_of_year,timestamp,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,weaBus.HDirNor,weaBus.TDryBul,u
0,0,1,0,5195.841733961782,293.15,0.0,0.0,20.5,0.0,271.82,0.9126213592233009
1,300,1,300,5638.758886469998,293.73425789943605,0.0,0.0,20.5,0.0,271.8280908161068,0.9904173496406518
2,600,1,600,5636.6053184675275,294.2040212626668,0.0,0.0,20.5,0.0,271.8357342807924,0.9900390871264669
3,900,1,900,5641.630310473287,294.49639388775495,0.0,0.0,20.5,0.0,271.84298691860465,0.9909216996595639
4,1200,1,1200,641.7632647363687,294.6827788607115,0.0,0.0,20.5,0.0,271.84990525409125,0.11272222922708368
5,1500,1,1500,47.378496054362785,293.6072545394502,0.0,0.0,20.5,0.0,271.8565458118002,0.00832177531206658
6,1800,1,1800,49.532064056833825,292.8063910362477,0.0,0.0,20.5,0.0,271.86296511627904,0.008700037826251424
7,2100,1,2100,47.378496054362785,292.31442795599264,0.0,0.0,20.5,0.0,271.8692196920758,0.00832177531206658
8,2400,1,2400,5357.35933414711,292.0111260020516,0.0,0.0,20.5,0.0,271.8753660637381,0.9409910477871642
9,2700,1,2700,5681.830246519419,293.08769502621885,0.0,0.0,20.5,0.0,271.8814607558139,0.9979825999243487
10,3000,1,3000,5661.012422495525,293.8284023669784,0.0,0.0,20.5,0.0,271.887560292851,0.9943260622872273
11,3300,1,3300,5619.376774447758,294.28131426740663,0.0,0.0,20.5,0.0,271.893721199397,0.987012987012988
12,3600,1,3600,5619.376774447758,294.55498406480353,0.0,0.0,20.5,0.0,271.9,0.987012987012988
13,3900,1,3900,5615.7874944436335,294.7301635026474,0.0,0.0,20.5,0.0,271.90602887294085,0.9863825494893456
14,4200,1,4200,5611.480358438692,294.8406637460906,0.0,0.0,20.5,0.0,271.911429869186,0.9856260244609759
15,4500,1,4500,5590.662534414809,294.9141496402302,0.0,0.0,20.5,0.0,271.916244322311,0.9819694868238564
16,4800,1,4800,478.809952549394,294.9608572476382,0.0,0.0,20.5,0.0,271.92051356589144,0.08410036565376383
17,5100,1,5100,40.91779204694968,293.7727223081955,0.0,0.0,20.5,0.0,271.9242789335029,0.007186987769512046
18,5400,1,5400,45.224928051891744,292.939665038165,0.0,0.0,20.5,0.0,271.9275817587209,0.007943512797881734
19,5700,1,5700,43.07136004942071,292.42774319207064,0.0,0.0,20.5,0.0,271.9304633751211,0.00756525028369689
20,6000,1,6000,5116.159717870353,292.1108657293105,0.0,0.0,20.5,0.0,271.93296511627904,0.8986256461984616
21,6300,1,6300,5552.616166371157,293.1224045901199,0.0,0.0,20.5,0.0,271.9351283157703,0.975286849073258
22,6600,1,6600,5553.334022371974,293.8483780921272,0.0,0.0,20.5,0.0,271.9369943071705,0.9754129365779852
23,6900,1,6900,5540.4126143571475,294.29667554787204,0.0,0.0,20.5,0.0,271.9386044240552,0.9731433614928761
24,7200,1,7200,5534.669766350561,294.5738881834828,0.0,0.0,20.5,0.0,271.94,0.9721346614550503
25,7500,1,7500,5530.362630345619,294.7483284930776,0.0,0.0,20.5,0.0,271.93760844713745,0.9713781364266807
26,7800,1,7800,5520.312646334091,294.8579566382586,0.0,0.0,20.5,0.0,271.9282494668635,0.9696129113604853
27,8100,1,8100,5513.134086325851,294.9291539025295,0.0,0.0,20.5,0.0,271.9125528266486,0.9683520363132019
28,8400,1,8400,5508.826950320909,294.97515448094805,0.0,0.0,20.5,0.0,271.8911482939632,0.9675955112848323
29,8700,1,8700,5531.798342347263,295.00726815933496,0.0,0.0,20.5,0.0,271.8646656362779,0.9716303114361367
30,9000,1,9000,5517.441222330794,295.0371185555138,0.0,0.0,20.5,0.0,271.83373462106294,0.9691085613415716
31,9300,1,9300,5531.798342347263,295.05657969768174,0.0,0.0,20.5,0.0,271.798985015789,0.9716303114361367
32,9600,1,9600,583.6169286696506,295.0763423578365,0.0,0.0,20.5,0.0,271.7610465879265,0.10250914134409286
33,9900,1,9900,45.94278405271546,293.90832942479574,0.0,0.0,20.5,0.0,271.72054910494586,0.008069600302610022
34,10200,1,10200,51.68563205930486,293.06135909150817,0.0,0.0,20.5,0.0,271.67812233431755,0.009078300340436269
35,10500,1,10500,50.967776058481135,292.53845447424146,0.0,0.0,20.5,0.0,271.63439604351214,0.00895221283570798
36,10800,1,10800,5246.80951002027,292.21246785522345,0.0,0.0,20.5,0.0,271.59,0.9215735720590101
37,11100,1,11100,5648.808870481526,293.24797350622305,0.0,0.0,20.5,0.0,271.535403277293,0.9921825747068471
38,11400,1,11400,5633.016038463402,293.97610498747656,0.0,0.0,20.5,0.0,271.46326913527696,0.9894086496028243
39,11700,1,11700,5636.6053184675275,294.4199712385001,0.0,0.0,20.5,0.0,271.37751862098315,0.9900390871264669
40,12000,1,12000,5658.858854493054,294.69373149776544,0.0,0.0,20.5,0.0,271.2820727814428,0.9939477997730425
41,12300,1,12300,5667.473126502939,294.8678090681961,0.0,0.0,20.5,0.0,271.1808526636873,0.9954608498297819
42,12600,1,12600,5693.315942532591,294.97793049566985,0.0,0.0,20.5,0.0,271.0777793147478,1.0
43,12900,1,12900,5690.4445185293025,295.0544209099066,0.0,0.0,20.5,0.0,270.97677378165565,0.999495649981088
44,13200,1,13200,536.9562886161119,295.1023167257316,0.0,0.0,20.5,0.0,270.88175711144214,0.09431345353675463
45,13500,1,13500,45.94278405271546,293.900499889407,0.0,0.0,20.5,0.0,270.7966503511385,0.008069600302610022
46,13800,1,13800,47.378496054362785,293.0440384010745,0.0,0.0,20.5,0.0,270.7253745477761,0.00832177531206658
47,14100,1,14100,48.09635205518649,292.51171496284064,0.0,0.0,20.5,0.0,270.67185074838613,0.008447862816794867
48,14400,1,14400,48.09635205518649,292.1797713295015,0.0,0.0,20.5,0.0,270.64,0.008447862816794867
49,14700,1,14700,47.378496054362785,291.9693215964409,0.0,0.0,20.5,0.0,270.62191008756844,0.00832177531206658
50,15000,1,15000,44.507072051068036,291.8324030401491,0.0,0.0,20.5,0.0,270.6068870779176,0.007817425293153447
51,15300,1,15300,43.78921605024443,291.73926655267184,0.0,0.0,20.5,0.0,270.59467944089124,0.007691337788425178
52,15600,1,15600,5192.252453957667,291.6756816038653,0.0,0.0,20.5,0.0,270.5850356463333,0.9119909216996601
53,15900,1,15900,5620.812486449403,292.8585814992685,0.0,0.0,20.5,0.0,270.5777041640877,0.9872651620224442
54,16200,1,16200,5631.580326461758,293.687678030113,0.0,0.0,20.5,0.0,270.5724334639983,0.9891564745933683
