index,seconds_of_day,day_of_year,timestamp,weaBus.HDirNor,totalHeatingPower.y,thermalZone.TAir,weaBus.TDryBul,weaDat.weaBus.HGloHor,weaBus.HDifHor,roomTempUpperSetpoint,u
0,0,1,0,0.0,3233.661391389311,293.15,277.22999999999996,0.0,0.0,22.5,0.9126213592233009
1,300,1,300,0.0,3509.3133779169757,294.04812654180705,277.25013364438655,0.0,0.0,22.5,0.9904173496406518
2,600,1,600,0.0,3507.9730927312658,294.66179394277435,277.2697410300926,0.0,0.0,22.5,0.9900390871264669
3,900,1,900,0.0,3511.1004248312515,294.9980479800134,277.2888818359375,0.0,0.0,22.5,0.9909216996595638
4,1200,1,1200,0.0,399.40498534153716,295.18857036666003,277.30761574074074,0.0,0.0,22.5,0.11272222922708366
5,1500,1,1500,0.0,29.486274085616838,293.8970790663751,277.3260024233217,0.0,0.0,22.5,0.00832177531206658
6,1800,1,1800,0.0,30.826559271326694,293.0427909673343,277.3441015625,0.0,0.0,22.5,0.008700037826251424
7,2100,1,2100,0.0,29.486274085616838,292.5851113635822,277.36197283709487,0.0,0.0,22.5,0.00832177531206658
8,2400,1,2400,0.0,3334.18278031755,292.33552866579646,277.3796759259259,0.0,0.0,22.5,0.9409910477871642
9,2700,1,2700,0.0,3536.119081631173,293.6893657843828,277.3972705078125,0.0,0.0,22.5,0.9979825999243487
10,3000,1,3000,0.0,3523.16299150264,294.50815117262556,277.41481626157406,0.0,0.0,22.5,0.9943260622872273
11,3300,1,3300,0.0,3497.2508112455866,294.9477114765381,277.43237286603005,0.0,0.0,22.5,0.9870129870129881
12,3600,1,3600,0.0,3497.2508112455866,295.18044996869406,277.45,0.0,0.0,22.5,0.9870129870129881
13,3900,1,3900,0.0,3495.017002602733,295.3165668942887,277.46751139322913,0.0,0.0,22.5,0.9863825494893456
14,4200,1,4200,0.0,3492.336432231313,295.39568859125194,277.4846366003788,0.0,0.0,22.5,0.9856260244609758
15,4500,1,4500,0.0,3479.380342102787,295.4467255595028,277.50130903764205,0.0,0.0,22.5,0.9819694868238563
16,4800,1,4800,0.0,297.9900729561583,295.47843034220807,277.5174621212121,0.0,0.0,22.5,0.08410036565376384
17,5100,1,5100,0.0,25.46541852848727,294.0715761475942,277.5330292672822,0.0,0.0,22.5,0.007186987769512046
18,5400,1,5400,0.0,28.145988899906982,293.1965362385765,277.54794389204545,0.0,0.0,22.5,0.007943512797881734
19,5700,1,5700,0.0,26.805703714197122,292.72783012969444,277.56213941169506,0.0,0.0,22.5,0.007565250283696889
20,6000,1,6000,0.0,3184.0708395180463,292.4723045578495,277.57554924242424,0.0,0.0,22.5,0.8986256461984616
21,6300,1,6300,0.0,3455.7019704885815,293.7548608112221,277.5881068004261,0.0,0.0,22.5,0.975286849073258
22,6600,1,6600,0.0,3456.1487322171474,294.56584433883944,277.5997455018939,0.0,0.0,22.5,0.9754129365779851
23,6900,1,6900,0.0,3448.107021102888,295.0058055074358,277.6103987630208,0.0,0.0,22.5,0.9731433614928761
24,7200,1,7200,0.0,3444.5329272743306,295.2453691010917,277.62,0.0,0.0,22.5,0.9721346614550503
25,7500,1,7500,0.0,3441.8523569029107,295.3797932410784,277.6254863457207,0.0,0.0,22.5,0.9713781364266807
26,7800,1,7800,0.0,3435.5976927029337,295.4586901916276,277.6246094389844,0.0,0.0,22.5,0.9696129113604853
27,8100,1,8100,0.0,3431.1300754172316,295.506337178848,277.61852445485255,0.0,0.0,22.5,0.9683520363132018
28,8400,1,8400,0.0,3428.449505045812,295.53844495939245,277.60838656838655,0.0,0.0,22.5,0.9675955112848322
29,8700,1,8700,0.0,3442.745880360049,295.5618427281744,277.5953509546478,0.0,0.0,22.5,0.9716303114361368
30,9000,1,9000,0.0,3433.810645788652,295.5883722929027,277.5805727886978,0.0,0.0,22.5,0.9691085613415716
31,9300,1,9300,0.0,3442.745880360049,295.6062522042384,277.56520724559783,0.0,0.0,22.5,0.9716303114361368
32,9600,1,9600,0.0,363.21728532737103,295.6273727710682,277.5504095004095,0.0,0.0,22.5,0.10250914134409285
33,9900,1,9900,0.0,28.592750628476953,294.25708880535785,277.5373347281941,0.0,0.0,22.5,0.008069600302610022
34,10200,1,10200,0.0,32.166844457036554,293.37298607892444,277.5271381040131,0.0,0.0,22.5,0.009078300340436269
35,10500,1,10500,0.0,31.720082728466572,292.8973353804787,277.5209748029279,0.0,0.0,22.5,0.00895221283570798
36,10800,1,10800,0.0,3265.3814741177816,292.63739688691015,277.52,0.0,0.0,22.5,0.92157357205901
37,11100,1,11100,0.0,3515.5680421169527,293.95054916323676,277.5229166579774,0.0,0.0,22.5,0.992182574706847
38,11400,1,11400,0.0,3505.739284088412,294.76725300591403,277.5274419558447,0.0,0.0,22.5,0.9894086496028244
39,11700,1,11700,0.0,3507.9730927312658,295.20478401976413,277.533252393018,0.0,0.0,22.5,0.9900390871264669
40,12000,1,12000,0.0,3521.82270631693,295.44689924021293,277.5400244689133,0.0,0.0,22.5,0.9939477997730425
41,12300,1,12300,0.0,3527.18384705977,295.59176920703385,277.5474346829468,0.0,0.0,22.5,0.995460849829782
42,12600,1,12600,0.0,3543.267269288288,295.6772169195934,277.55515953453454,0.0,0.0,22.5,1.0
43,12900,1,12900,0.0,3541.480222374012,295.738448073523,277.5628755230925,0.0,0.0,22.5,0.999495649981088
44,13200,1,13200,0.0,334.1777729703244,295.77912780373345,277.5702591480369,0.0,0.0,22.5,0.09431345353675463
45,13500,1,13500,0.0,28.592750628476953,294.3622827346614,277.57698690878374,0.0,0.0,22.5,0.008069600302610022
46,13800,1,13800,0.0,29.486274085616838,293.4665945330562,277.5827353047492,0.0,0.0,22.5,0.00832177531206658
47,14100,1,14100,0.0,29.933035814186812,292.98438151626334,277.5871808353492,0.0,0.0,22.5,0.008447862816794867
48,14400,1,14400,0.0,29.933035814186812,292.7206578175927,277.59,0.0,0.0,22.5,0.008447862816794867
49,14700,1,14700,0.0,29.486274085616838,292.57070674471294,277.59077860037956,0.0,0.0,22.5,0.00832177531206658
50,15000,1,15000,0.0,27.699227171337007,292.4861655027922,277.58959193628493,0.0,0.0,22.5,0.007817425293153447
51,15300,1,15300,0.0,27.2524654427671,292.4332654110491,277.5868507543103,0.0,0.0,22.5,0.007691337788425178
52,15600,1,15600,0.0,3231.4275827464635,292.39756288713306,277.5829658010501,0.0,0.0,22.5,0.9119909216996601
53,15900,1,15900,0.0,3498.144334702725,293.8171438545189,277.57834782309845,0.0,0.0,22.5,0.9872651620224442
54,16200,1,16200,0.0,3504.845760631274,294.6963009352042,277.5734075670498,0.0,0.0,22.5,0.9891564745933683
