,T_in,T_out,heatPower,Q_solar
0,290.0,264.75,0.0,0.0
1,288.86065673828125,264.75,5000.0,0.0
2,287.8555962812178,264.75,5000.0,0.0
3,287.2173329810435,264.75,5000.0,0.0
4,286.7478541431245,264.75,5000.0,0.0
5,286.3717071649511,264.75,5000.0,0.0
6,286.0578030686176,264.75,5000.0,0.0
7,285.7914142822312,264.75,5000.0,0.0
8,285.56410933485336,264.75,5000.0,0.0
9,285.3701015969592,264.75,5000.0,0.0
10,285.204895779104,264.75,5000.0,0.0
11,285.06476122790116,264.75,5000.0,0.0
12,284.9465059129708,264.75,5000.0,0.0
13,284.84736253709536,264.75,5000.0,0.0
14,284.7649188335964,264.75,5000.0,0.0
15,284.6970672708497,264.75,5000.0,0.0
16,284.64196486106886,264.75,5000.0,0.0
17,284.5979993545546,264.75,5000.0,0.0
18,284.56376014439894,264.75,5000.0,0.0
19,284.5380129798825,264.75,5000.0,0.0
20,284.5196779008768,264.75,5000.0,0.0
21,284.5078099509155,264.75,5000.0,0.0
22,284.5015823075472,264.75,5000.0,0.0
23,284.500271522902,264.75,5000.0,0.0
24,284.50324460904017,265.54998779296875,5000.0,0.0
25,284.5099477369811,265.54998779296875,5000.0,0.0
26,284.52035017865745,265.54998779296875,5000.0,0.0
27,284.53396879588666,265.54998779296875,5000.0,0.0
28,284.5503811856468,265.54998779296875,5000.0,0.0
29,284.5692179076472,265.54998779296875,5000.0,0.0
30,284.5901558016991,265.54998779296875,5000.0,0.0
31,284.61291218233913,265.54998779296875,5000.0,0.0
32,284.6372397738301,265.54998779296875,5000.0,0.0
33,284.6629222833049,265.54998779296875,5000.0,0.0
34,284.68977052885447,265.54998779296875,5000.0,0.0
35,284.71761905199344,265.54998779296875,5000.0,0.0
36,284.7463231535496,266.04998779296875,5000.0,0.0
37,284.7757562999243,266.04998779296875,5000.0,0.0
38,284.8060914978133,266.04998779296875,5000.0,0.0
39,284.8371950222289,266.04998779296875,5000.0,0.0
40,284.86895012717383,266.04998779296875,5000.0,0.0
41,284.90125480862366,266.04998779296875,5000.0,0.0
42,284.9340199212462,266.04998779296875,5000.0,0.0
43,284.96716755691426,266.04998779296875,5000.0,0.0
44,285.0006296352536,266.04998779296875,5000.0,0.0
45,285.0343466736468,266.04998779296875,5000.0,0.0
46,285.068266712101,266.04998779296875,5000.0,0.0
47,285.1023443728558,266.04998779296875,5000.0,0.0
48,285.1365400376221,266.3500061035156,5000.0,0.0
49,285.17081912765894,266.3500061035156,5000.0,0.0
50,285.20532166045325,266.3500061035156,5000.0,0.0
51,285.2399991269582,266.3500061035156,5000.0,0.0
