,T_in,T_out,heatPower,Q_solar
136,268.8898,267.95,40.666668,710.1
137,268.86353,267.95,43.333332,710.1
138,268.83972,267.95,44.0,710.1
139,268.81815,267.95,44.666668,710.1
140,268.79855,267.95,42.0,710.1
141,268.7806,267.95,44.0,710.1
142,268.76434,267.95,35.333332,710.1
143,268.74915,267.95,40.0,710.1
144,268.7354,268.05,4704.0,964.3587
145,268.98492,268.05,5104.0,964.3587
146,269.31534,268.05,5088.0,964.3587
147,269.65216,268.05,5096.0,964.3587
148,269.97195,268.05,5076.6665,964.3587
149,270.2667,268.05,5077.3335,964.3587
150,270.53625,268.05,5078.0,964.3587
151,270.78204,268.05,5087.3335,964.3587
152,271.00632,268.05,439.33334,964.3587
153,270.97824,268.05,47.333332,964.3587
154,270.85007,268.05,43.333332,964.3587
155,270.6965,268.05,42.0,964.3587
156,270.54352,266.85,43.333332,865.8832
157,270.2837,266.85,44.666668,865.8832
158,270.04575,266.85,46.0,865.8832
159,269.82877,266.85,47.333332,865.8832
160,269.63123,266.85,42.0,865.8832
161,269.4512,266.85,42.0,865.8832
162,269.28732,266.85,46.0,865.8832
163,269.13837,266.85,40.666668,865.8832
164,269.00266,266.85,4828.6665,865.8832
165,269.11847,266.85,5202.6665,865.8832
166,269.32812,266.85,5178.6665,865.8832
167,269.555,266.85,5183.3335,865.8832
168,269.77457,266.75,488.66666,585.29004
169,269.71347,266.75,42.666668,585.29004
170,269.5533,266.75,41.333332,585.29004
171,269.37012,266.75,42.0,585.29004
172,269.19006,266.75,4833.3335,585.29004
173,269.261,266.75,5138.6665,585.29004
174,269.42477,266.75,5092.0,585.29004
175,269.60696,266.75,5082.0,585.29004
176,269.7841,266.75,928.6667,585.29004
177,269.74167,266.75,74.0,585.29004
178,269.58752,266.75,45.333332,585.29004
179,269.4045,266.75,49.333332,585.29004
180,269.2229,266.85,43.333332,102.57
181,269.0234,266.85,42.0,102.57
182,268.83978,266.85,44.0,102.57
183,268.6721,266.85,45.333332,102.57
184,268.51935,266.85,4776.6665,102.57
185,268.61685,266.85,5173.3335,102.57
186,268.81,266.85,5107.3335,102.57
187,269.01978,266.85,5086.6665,102.57
188,269.22177,266.85,5129.3335,102.57
189,269.41168,266.85,5185.3335,102.57
190,269.58945,266.85,5175.3335,102.57
191,269.75247,266.85,5164.0,102.57
