index,seconds_of_day,day_of_year,timestamp,weaBus.HDirNor,totalHeatingPower.y,thermalZone.TAir,weaBus.TDryBul,weaDat.weaBus.HGloHor,weaBus.HDifHor,roomTempUpperSetpoint,u
0,0,1,0,0.0,15610.026617210307,293.15,270.84,0.0,0.0,21.5,0.9126213592233009
1,300,1,300,0.0,16940.696197594243,296.2818658684142,270.82701932870367,0.0,0.0,21.5,0.9904173496406519
2,600,1,600,0.0,16934.226167219604,298.2016782236985,270.81392129629626,0.0,0.0,21.5,0.9900390871264669
3,900,1,900,0.0,16949.322904760407,299.1845088915701,270.80072187499997,0.0,0.0,21.5,0.9909216996595638
4,1200,1,1200,0.0,1928.0690516421698,299.70255426851077,270.787437037037,0.0,0.0,21.5,0.11272222922708366
5,1500,1,1500,0.0,142.34066824203938,296.24120790600205,270.7740827546296,0.0,0.0,21.5,0.00832177531206658
6,1800,1,1800,0.0,148.81069861667754,294.0591622856857,270.760675,0.0,0.0,21.5,0.008700037826251424
7,2100,1,2100,0.0,142.34066824203938,292.96054848823246,270.74722974537036,0.0,0.0,21.5,0.00832177531206658
8,2400,1,2400,0.0,16095.278895308169,292.396963601708,270.73376296296294,0.0,0.0,21.5,0.9409910477871642
9,2700,1,2700,0.0,17070.096805087003,296.0785863052395,270.72029062499996,0.0,0.0,21.5,0.9979825999243486
10,3000,1,3000,0.0,17007.553178132148,298.17649512817,270.7068287037037,0.0,0.0,21.5,0.9943260622872272
11,3300,1,3300,0.0,16882.4659242225,299.2252318132344,270.6933931712963,0.0,0.0,21.5,0.9870129870129882
12,3600,1,3600,0.0,16882.4659242225,299.73535794483655,270.67999999999995,0.0,0.0,21.5,0.9870129870129882
13,3900,1,3900,0.0,16871.68254026475,300.0090850305598,270.6665203883495,0.0,0.0,21.5,0.9863825494893456
14,4200,1,4200,0.0,16858.742479515473,300.15641973844305,270.6528317152103,0.0,0.0,21.5,0.985626024460976
15,4500,1,4500,0.0,16796.198852560647,300.24277134782943,270.63895922330096,0.0,0.0,21.5,0.9819694868238563
16,4800,1,4800,0.0,1438.5034199612173,300.2857844661599,270.6249281553398,0.0,0.0,21.5,0.08410036565376383
17,5100,1,5100,0.0,122.93057711812492,296.49578581811244,270.6107637540453,0.0,0.0,21.5,0.007186987769512046
18,5400,1,5400,0.0,135.87063786740123,294.2581079665652,270.5964912621359,0.0,0.0,21.5,0.007943512797881734
19,5700,1,5700,0.0,129.40060749276307,293.1260225465981,270.58213592233005,0.0,0.0,21.5,0.0075652502836968906
20,6000,1,6000,0.0,15370.635493348696,292.53991461371527,270.56772297734625,0.0,0.0,21.5,0.8986256461984616
21,6300,1,6300,0.0,16681.894982608716,296.025839648863,270.5532776699029,0.0,0.0,21.5,0.975286849073258
22,6600,1,6600,0.0,16684.05165940024,298.1024244159178,270.5388252427184,0.0,0.0,21.5,0.975412936577985
23,6900,1,6900,0.0,16645.231477152414,299.1503141199279,270.5243909385113,0.0,0.0,21.5,0.9731433614928762
24,7200,1,7200,0.0,16627.978062820053,299.6754815977772,270.51,0.0,0.0,21.5,0.9721346614550503
25,7500,1,7500,0.0,16615.038002070778,299.94635824875655,270.49370276227603,0.0,0.0,21.5,0.9713781364266807
26,7800,1,7800,0.0,16584.84452698914,300.0899410877041,270.47363669953876,0.0,0.0,21.5,0.9696129113604852
27,8100,1,8100,0.0,16563.277759073673,300.16694033397926,270.44995776316796,0.0,0.0,21.5,0.968352036313202
28,8400,1,8400,0.0,16550.337698324398,300.2100171384784,270.42282190454347,0.0,0.0,21.5,0.9675955112848323
29,8700,1,8700,0.0,16619.35135565386,300.23944122385035,270.3923850750452,0.0,0.0,21.5,0.9716303114361367
30,9000,1,9000,0.0,16576.21781982295,300.2815941237728,270.35880322605306,0.0,0.0,21.5,0.9691085613415715
31,9300,1,9300,0.0,16619.35135565386,300.30227145479836,270.3222323089468,0.0,0.0,21.5,0.9716303114361367
32,9600,1,9600,0.0,1753.3782315269395,300.33333123900445,270.28282827510634,0.0,0.0,21.5,0.10250914134409286
33,9900,1,9900,0.0,138.02731465894738,296.6540062070976,270.2407470759116,0.0,0.0,21.5,0.008069600302610022
34,10200,1,10200,0.0,155.2807289913157,294.3930325285995,270.19614466274237,0.0,0.0,21.5,0.009078300340436269
35,10500,1,10500,0.0,153.12405219976952,293.2459437363064,270.14917698697855,0.0,0.0,21.5,0.00895221283570798
36,10800,1,10800,0.0,15763.150669410097,292.6500003017481,270.09999999999997,0.0,0.0,21.5,0.92157357205901
