index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,weaBus.TDryBul,totalHeatingPower.y,thermalZone.TAir,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,u
0,0,1,0,0.0,277.22999999999996,17071.644109139746,293.15,0.0,0.0,23.0,0.912621359223301
1,300,1,300,0.0,277.25013364438655,18526.908604212884,296.524999350137,0.0,0.0,23.0,0.9904173496406516
2,600,1,600,0.0,277.2697410300926,18519.832763880277,298.52280845341323,0.0,0.0,23.0,0.9900390871264669
3,900,1,900,0.0,277.2888818359375,18536.343057989678,299.5348757027599,0.0,0.0,23.0,0.9909216996595639
4,1200,1,1200,0.0,277.30761574074074,2108.6004191172897,300.0751280739824,0.0,0.0,23.0,0.11272222922708366
5,1500,1,1500,0.0,277.3260024233217,155.6684873173838,296.5960758690428,0.0,0.0,23.0,0.00832177531206658
6,1800,1,1800,0.0,277.3441015625,162.74432764999216,294.4597032381782,0.0,0.0,23.0,0.008700037826251424
7,2100,1,2100,0.0,277.36197283709487,155.6684873173838,293.39399552474566,0.0,0.0,23.0,0.00832177531206658
8,2400,1,2400,0.0,277.3796759259259,17602.332134085373,292.82148800836285,0.0,0.0,23.0,0.9409910477871642
9,2700,1,2700,0.0,277.3972705078125,18668.425410865053,296.502928817661,0.0,0.0,23.0,0.9979825999243487
10,3000,1,3000,0.0,277.41481626157406,18600.02562098315,298.5101831916825,0.0,0.0,23.0,0.9943260622872273
11,3300,1,3300,0.0,277.43237286603005,18463.22604121941,299.4714564463283,0.0,0.0,23.0,0.987012987012988
12,3600,1,3600,0.0,277.45,18463.22604121941,299.91957722944744,0.0,0.0,23.0,0.987012987012988
13,3900,1,3900,0.0,277.46751139322913,18451.432973998373,300.1537983652033,0.0,0.0,23.0,0.9863825494893456
14,4200,1,4200,0.0,277.4846366003788,18437.28129333316,300.2790526487719,0.0,0.0,23.0,0.9856260244609759
15,4500,1,4500,0.0,277.50130903764205,18368.881503451288,300.34978160433445,0.0,0.0,23.0,0.9819694868238563
16,4800,1,4800,0.0,277.5174621212121,1573.1951672832588,300.37812875866587,0.0,0.0,23.0,0.08410036565376383
17,5100,1,5100,0.0,277.5330292672822,134.44096631955875,296.53457474782056,0.0,0.0,23.0,0.007186987769512047
18,5400,1,5400,0.0,277.54794389204545,148.59264698477543,294.312243656513,0.0,0.0,23.0,0.007943512797881734
19,5700,1,5700,0.0,277.56213941169506,141.51680665216708,293.1861515988144,0.0,0.0,23.0,0.00756525028369689
20,6000,1,6000,0.0,277.57554924242424,16809.838016833237,292.571284524114,0.0,0.0,23.0,0.8986256461984617
21,6300,1,6300,0.0,277.5881068004261,18243.874990908553,296.0417381705789,0.0,0.0,23.0,0.975286849073258
22,6600,1,6600,0.0,277.5997455018939,18246.233604352732,298.0221488097248,0.0,0.0,23.0,0.9754129365779851
23,6900,1,6900,0.0,277.6103987630208,18203.77856235708,298.9808071673221,0.0,0.0,23.0,0.9731433614928761
24,7200,1,7200,0.0,277.62,18184.909654803472,299.4476918404856,0.0,0.0,23.0,0.9721346614550505
25,7500,1,7500,0.0,277.6254863457207,18170.757974138254,299.6858970931694,0.0,0.0,23.0,0.9713781364266807
26,7800,1,7800,0.0,277.6246094389844,18137.737385919427,299.81478525842385,0.0,0.0,23.0,0.9696129113604853
27,8100,1,8100,0.0,277.61852445485255,18114.151251477386,299.8835070709846,0.0,0.0,23.0,0.9683520363132019
28,8400,1,8400,0.0,277.60838656838655,18099.99957081217,299.92471963376084,0.0,0.0,23.0,0.9675955112848322
29,8700,1,8700,0.0,277.5953509546478,18175.47520102665,299.95325317917695,0.0,0.0,23.0,0.9716303114361367
30,9000,1,9000,0.0,277.5805727886978,18128.302932142604,299.9949944958572,0.0,0.0,23.0,0.9691085613415716
31,9300,1,9300,0.0,277.56520724559783,18175.47520102665,300.0141980383906,0.0,0.0,23.0,0.9716303114361367
32,9600,1,9600,0.0,277.5504095004095,1917.552730136864,300.04341444054734,0.0,0.0,23.0,0.10250914134409286
33,9900,1,9900,0.0,277.5373347281941,150.95126042897834,296.32537909660573,0.0,0.0,23.0,0.008069600302610022
34,10200,1,10200,0.0,277.5271381040131,169.8201679826005,294.08875953499876,0.0,0.0,23.0,0.009078300340436269
35,10500,1,10500,0.0,277.5209748029279,167.4615545383976,292.95828863952516,0.0,0.0,23.0,0.00895221283570798
36,10800,1,10800,0.0,277.52,17239.105663678165,292.34893603840663,0.0,0.0,23.0,0.92157357205901
37,11100,1,11100,0.0,277.5229166579774,18559.929192431715,295.9173883300816,0.0,0.0,23.0,0.9921825747068472
38,11400,1,11400,0.0,277.5274419558447,18508.03969665924,297.92573113506137,0.0,0.0,23.0,0.9894086496028244
39,11700,1,11700,0.0,277.533252393018,18519.832763880277,298.8920208442796,0.0,0.0,23.0,0.9900390871264669
40,12000,1,12000,0.0,277.5400244689133,18592.949780650542,299.38032367228993,0.0,0.0,23.0,0.9939477997730425
41,12300,1,12300,0.0,277.5474346829468,18621.253141980975,299.65634935851403,0.0,0.0,23.0,0.9954608498297819
42,12600,1,12600,0.0,277.55515953453454,18706.163225972276,299.8191431497574,0.0,0.0,23.0,1.0
43,12900,1,12900,0.0,277.5628755230925,18696.728772195485,299.93926626371507,0.0,0.0,23.0,0.999495649981088
44,13200,1,13200,0.0,277.5702591480369,1764.2428562636844,300.01449272793786,0.0,0.0,23.0,0.09431345353675463
