index,seconds_of_day,day_of_year,timestamp,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,weaBus.HDirNor,weaBus.TDryBul,u
0,0,1,0,26273.24803442797,293.15,0.0,0.0,22.0,0.0,271.82,0.9126213592233009
1,300,1,300,28512.899048139258,296.8123850487882,0.0,0.0,22.0,0.0,271.8280908161068,0.9904173496406518
2,600,1,600,28502.009334944552,298.9781677707047,0.0,0.0,22.0,0.0,271.8357342807924,0.9900390871264669
3,900,1,900,28527.41866573217,300.05825133386656,0.0,0.0,22.0,0.0,271.84298691860465,0.9909216996595638
4,1200,1,1200,3245.1345320224677,300.61679987658056,0.0,0.0,22.0,0.0,271.84990525409125,0.11272222922708366
5,1500,1,1500,239.57369028353787,296.79737274773703,0.0,0.0,22.0,0.0,271.8565458118002,0.00832177531206658
6,1800,1,1800,250.46340347824415,294.44718179415264,0.0,0.0,22.0,0.0,271.86296511627904,0.008700037826251424
7,2100,1,2100,239.57369028353787,293.29109996290697,0.0,0.0,22.0,0.0,271.8692196920758,0.00832177531206658
8,2400,1,2400,27089.97652403094,292.6957217712991,0.0,0.0,22.0,0.0,271.8753660637381,0.9409910477871642
9,2700,1,2700,28730.693312033385,296.74665526206104,0.0,0.0,22.0,0.0,271.8814607558139,0.9979825999243487
10,3000,1,3000,28625.426084484523,298.9763411816071,0.0,0.0,22.0,0.0,271.887560292851,0.9943260622872273
11,3300,1,3300,28414.8916293869,300.0472549618746,0.0,0.0,22.0,0.0,271.893721199397,0.9870129870129881
12,3600,1,3600,28414.8916293869,300.5419305978682,0.0,0.0,22.0,0.0,271.9,0.9870129870129881
13,3900,1,3900,28396.74210739569,300.794072358885,0.0,0.0,22.0,0.0,271.90602887294085,0.9863825494893456
14,4200,1,4200,28374.96268100628,300.92421460144055,0.0,0.0,22.0,0.0,271.911429869186,0.9856260244609759
15,4500,1,4500,28269.69545345747,300.9939184870127,0.0,0.0,22.0,0.0,271.916244322311,0.9819694868238563
16,4800,1,4800,2421.146233623029,301.0196369891259,0.0,0.0,22.0,0.0,271.92051356589144,0.08410036565376383
17,5100,1,5100,206.90455069941908,296.82937916376954,0.0,0.0,22.0,0.0,271.9242789335029,0.007186987769512046
18,5400,1,5400,228.6839770888316,294.4080167469442,0.0,0.0,22.0,0.0,271.9275817587209,0.007943512797881734
19,5700,1,5700,217.79426389412532,293.2014534815771,0.0,0.0,22.0,0.0,271.9304633751211,0.00756525028369689
20,6000,1,6000,25870.328646223836,292.56882022361964,0.0,0.0,22.0,0.0,271.93296511627904,0.8986256461984616
21,6300,1,6300,28077.31052035101,296.3917791892059,0.0,0.0,22.0,0.0,271.9351283157703,0.975286849073258
22,6600,1,6600,28080.94042474921,298.5896583185179,0.0,0.0,22.0,0.0,271.9369943071705,0.9754129365779851
23,6900,1,6900,28015.602145580975,299.6523950112493,0.0,0.0,22.0,0.0,271.9386044240552,0.9731433614928762
24,7200,1,7200,27986.562910395107,300.1573026916932,0.0,0.0,22.0,0.0,271.94,0.9721346614550503
25,7500,1,7500,27964.783484005693,300.40214101809283,0.0,0.0,22.0,0.0,271.93760844713745,0.9713781364266807
26,7800,1,7800,27913.964822430415,300.5220526413229,0.0,0.0,22.0,0.0,271.9282494668635,0.9696129113604853
27,8100,1,8100,27877.66577844804,300.5753360713378,0.0,0.0,22.0,0.0,271.9125528266486,0.9683520363132019
28,8400,1,8400,27855.88635205863,300.59954349560905,0.0,0.0,22.0,0.0,271.8911482939632,0.9675955112848322
29,8700,1,8700,27972.043292802147,300.6105965661476,0.0,0.0,22.0,0.0,271.8646656362779,0.9716303114361367
30,9000,1,9000,27899.445204837455,300.63736407526403,0.0,0.0,22.0,0.0,271.83373462106294,0.9691085613415715
31,9300,1,9300,27972.043292802147,300.640775001462,0.0,0.0,22.0,0.0,271.798985015789,0.9716303114361367
32,9600,1,9600,2951.1122757653984,300.65578206010457,0.0,0.0,22.0,0.0,271.7610465879265,0.10250914134409286
33,9900,1,9900,232.3138814870672,296.58803024025906,0.0,0.0,22.0,0.0,271.72054910494586,0.008069600302610022
34,10200,1,10200,261.3531166729504,294.1394104948815,0.0,0.0,22.0,0.0,271.67812233431755,0.009078300340436269
35,10500,1,10500,257.7232122747148,292.9157964250682,0.0,0.0,22.0,0.0,271.63439604351214,0.00895221283570798
36,10800,1,10800,26530.971246702717,292.2737233102808,0.0,0.0,22.0,0.0,271.59,0.92157357205901
37,11100,1,11100,28563.71770971454,296.18834140761567,0.0,0.0,22.0,0.0,271.535403277293,0.9921825747068471
38,11400,1,11400,28483.859812953342,298.40061265327523,0.0,0.0,22.0,0.0,271.46326913527696,0.9894086496028244
39,11700,1,11700,28502.009334944552,299.4537195370349,0.0,0.0,22.0,0.0,271.37751862098315,0.9900390871264669
40,12000,1,12000,28614.536371289818,299.9664683467805,0.0,0.0,22.0,0.0,271.2820727814428,0.9939477997730425
41,12300,1,12300,28658.095224068642,300.23329546032505,0.0,0.0,22.0,0.0,271.1808526636873,0.9954608498297819
42,12600,1,12600,28788.771782405118,300.37222051227684,0.0,0.0,22.0,0.0,271.0777793147478,1.0
43,12900,1,12900,28774.25216481221,300.463193084203,0.0,0.0,22.0,0.0,270.97677378165565,0.999495649981088
44,13200,1,13200,2715.1684898800977,300.50739009886655,0.0,0.0,22.0,0.0,270.88175711144214,0.09431345353675462
45,13500,1,13500,232.3138814870672,296.28686305746714,0.0,0.0,22.0,0.0,270.7966503511385,0.008069600302610022
46,13800,1,13800,239.57369028353787,293.80289442871367,0.0,0.0,22.0,0.0,270.7253745477761,0.00832177531206658
47,14100,1,14100,243.20359468177347,292.56006833843685,0.0,0.0,22.0,0.0,270.67185074838613,0.008447862816794867
48,14400,1,14400,243.20359468177347,291.90766257686965,0.0,0.0,22.0,0.0,270.64,0.008447862816794867
49,14700,1,14700,239.57369028353787,291.5406480851563,0.0,0.0,22.0,0.0,270.62191008756844,0.00832177531206658
50,15000,1,15000,225.054072690596,291.31289477097107,0.0,0.0,22.0,0.0,270.6068870779176,0.007817425293153447
51,15300,1,15300,221.42416829236095,291.14939822393825,0.0,0.0,22.0,0.0,270.59467944089124,0.007691337788425178
52,15600,1,15600,26255.09851243681,291.0231336313157,0.0,0.0,22.0,0.0,270.5850356463333,0.9119909216996601
53,15900,1,15900,28422.15143818336,295.15559184820034,0.0,0.0,22.0,0.0,270.5777041640877,0.9872651620224442
54,16200,1,16200,28476.60000415689,297.50083293757007,0.0,0.0,22.0,0.0,270.5724334639983,0.9891564745933685
55,16500,1,16500,28458.45048216573,298.64687225761384,0.0,0.0,22.0,0.0,270.568972015909,0.9885260370697275
56,16800,1,16800,28411.26172498865,299.2047749588314,0.0,0.0,22.0,0.0,270.56706828966367,0.9868868995082593
57,17100,1,17100,28454.820577767474,299.477483762813,0.0,0.0,22.0,0.0,270.56647075510625,0.9883999495649987
58,17400,1,17400,28505.639239342756,299.62680607922425,0.0,0.0,22.0,0.0,270.5669278820805,0.990165174631194
59,17700,1,17700,28600.016753696906,299.7166796124227,0.0,0.0,22.0,0.0,270.5681881404305,0.9934434497541303
60,18000,1,18000,2962.0019889601044,299.78674147009474,0.0,0.0,22.0,0.0,270.57,0.1028874038582777
61,18300,1,18300,239.57369028353787,295.6529526051766,0.0,0.0,22.0,0.0,270.5730275376131,0.00832177531206658
62,18600,1,18600,250.46340347824415,293.1804353684576,0.0,0.0,22.0,0.0,270.5778463007044,0.008700037826251424
63,18900,1,18900,228.6839770888316,291.9492685528219,0.0,0.0,22.0,0.0,270.5840719650332,0.007943512797881734
64,19200,1,19200,26338.586313596206,291.3040913467167,0.0,0.0,22.0,0.0,270.59132020635917,0.91489093430841
