row: origin/col: dest/entries: meters,West End,Knightsbridge ,Bromley ,Croydon ,Ealing,Shepherds Bush,Wood Green ,Harrow ,Romford ,Uxbridge ,Hounslow ,Kingston ,Ilford ,Sutton ,Barking ,Edgware ,Bexleyheath ,Wembley ,Kilburn ,Orpington ,Camden Town ,Southall ,Enfield Town ,Eltham ,Woolwich ,Dalston ,Fulham ,Hammersmith ,Chiswick ,Angel ,Nags Head ,Kensington High Street ,Kings Road East ,Brixton ,Streatham ,Catford ,Lewisham ,Wimbledon ,East Ham ,Stratford ,Richmond ,Peckham ,Canary Wharf ,Walthamstow ,Clapham Junction ,Putney ,Tooting ,Wandsworth ,Queensway-Westbourne Grove
New Addington	Croydon	London,28789,31806,11617,9376,43197,28751,39388,48376,47832,59385,37442,28034,41469,18655,42155,46318,25318,37353,32194,13566,33066,48023,49871,21046,27588,31076,26225,32135,36024,29846,27195,30087,24394,21381,16742,19409,19659,21185,38856,38698,31094,23407,31206,43104,21512,24811,18193,23035,31745
Norbury	Croydon	London,14744,14889,12926,5880,30559,16132,25344,34291,39507,45212,26385,22055,28717,12503,27201,32640,26195,24736,20084,23555,17652,25920,32545,19004,21107,20310,15391,18227,17281,18782,16428,17449,11777,6709,3247,14342,15143,11654,23645,27857,18469,9767,15995,29060,8895,12194,6174,8310,17857
Purley	Croydon	London,25470,24811,19053,5345,39878,25430,36069,42628,44513,53538,35683,31353,42902,9095,41063,45562,43261,34034,30810,22815,28378,35218,46571,34701,25981,27176,28837,28816,26579,26527,29081,26768,21075,27714,13434,15740,17183,25510,35537,38583,27775,20358,22887,39785,18193,21492,15539,19716,28426
Sanderstead	Croydon	London,26703,31238,22040,6197,41111,26665,37302,47808,47264,58817,35356,27161,39302,15108,41587,48313,46012,45740,36502,19066,32498,45937,45722,38990,39199,31337,23274,30049,33938,29278,27399,28001,22308,28947,14351,20514,20133,18234,38288,38130,29008,21016,30638,41018,19426,22725,18689,20949,29659
Selhurst	Croydon	London,18482,17033,9339,2460,32890,18462,29081,35553,42910,46550,28715,24385,35943,9714,34075,35661,29485,27066,23822,17975,21392,34019,36282,22294,24397,25493,16770,21828,25494,20922,22093,19780,14107,20726,6393,10040,10841,17897,33098,31595,20799,13057,26691,32148,11225,14524,11411,12748,21438
Selsdon and Ballards	Croydon	London,24415,23756,16697,5022,38823,24375,35014,41573,43458,52483,34628,30298,41847,13964,40008,41987,30399,32979,29755,18714,27323,34163,45516,26127,24146,26702,27782,27761,25524,25472,28026,25713,20020,26659,12368,15837,13978,15765,34482,37528,26720,19033,26832,38730,17138,20437,15153,18661,27371
Shirley	Croydon	London,23513,22854,10964,3986,37921,23473,34112,40584,42400,51505,33726,29240,39975,12907,39106,40692,24560,32077,28853,17660,26423,42747,41399,19612,27069,25173,26880,26859,30748,27551,27124,24811,19118,20518,11569,10878,11127,23553,38129,36626,25810,18234,25577,37828,16236,19379,22246,17759,26469
South Norwood	Croydon	London,19754,17769,8231,3779,34162,19738,30353,38657,36186,49578,29991,26226,28815,11450,26947,37772,31326,28342,23159,16867,22664,36287,37640,24135,18864,20055,23121,23100,26989,22192,16174,21052,15383,9100,7414,8932,9733,23575,23391,23233,22075,14898,15741,33420,12501,15800,11691,14024,22710
Thornton Heath	Croydon	London,17068,23065,13671,3225,38132,23684,27668,36703,39665,47624,33937,23499,31818,14826,29613,35052,28607,32288,22408,37346,19976,42958,35395,21416,23519,22722,27091,27070,30959,21679,18840,25022,19329,9033,5570,11946,13389,23764,26057,25899,26021,12179,18407,31384,16447,19742,8497,17970,26680
Upper Norwood	Croydon	London,16186,14807,9344,5961,31200,16776,26786,37163,34692,48084,27029,22699,27321,14814,25453,31628,22788,25380,20197,16885,22449,33325,34072,16477,18195,18561,20159,20138,24027,19229,14680,18090,12421,6402,3825,7563,9006,20613,21897,21739,19113,8501,14247,30782,9539,12838,9339,11062,19748
