row: origin/col: dest/entries: meters,West End,Knightsbridge ,Bromley ,Croydon ,Ealing,Shepherds Bush,Wood Green ,Harrow ,Romford ,Uxbridge ,Hounslow ,Kingston ,Ilford ,Sutton ,Barking ,Edgware ,Bexleyheath ,Wembley ,Kilburn ,Orpington ,Camden Town ,Southall ,Enfield Town ,Eltham ,Woolwich ,Dalston ,Fulham ,Hammersmith ,Chiswick ,Angel ,Nags Head ,Kensington High Street ,Kings Road East ,Brixton ,Streatham ,Catford ,Lewisham ,Wimbledon ,East Ham ,Stratford ,Richmond ,Peckham ,Canary Wharf ,Walthamstow ,Clapham Junction ,Putney ,Tooting ,Wandsworth ,Queensway-Westbourne Grove
Plaistow and Sundridge	Bromley	London,25601,22615,1562,14337,36043,25423,40938,60364,46186,45948,34461,32562,25750,21555,22751,53140,12295,57463,31952,7115,27296,38334,42154,6536,11949,22189,21980,24444,27651,24909,18887,23970,20600,15361,13921,6477,6262,26357,20659,19631,28662,12689,16548,27657,18705,21621,22608,19397,25198
Shortlands	Bromley	London,20868,21470,2086,10484,34897,24277,42362,37913,49368,44802,33314,27234,27174,17701,24175,54564,16901,34480,29668,8903,23267,37188,43577,9385,13373,23612,21315,23298,26505,26333,20310,22824,19454,13595,12644,6669,6736,21029,22083,21054,27516,12638,17971,29081,17558,20475,16455,18251,24052
West Wickham	Bromley	London,20570,21172,5802,6904,34599,23979,46078,37615,52109,44505,42995,25582,30890,14122,27891,93242,17306,34182,29370,8599,22969,36890,77039,12517,17089,27328,21055,23000,26207,30049,24026,22526,19156,13297,12384,8943,9010,19315,25799,24770,27733,14329,21687,32797,17261,20692,15629,17953,23754
Belsize	Camden	London,6674,7549,25995,23547,18364,9846,9543,17816,36974,28269,24229,24068,30944,31742,32072,13017,29366,14915,2625,31715,2831,25412,19668,23086,23586,9257,13900,13793,14986,6549,9550,7623,9183,12571,16693,19791,20130,21116,33088,16119,18870,13133,13540,13920,12025,15947,18711,13885,5713
Bloomsbury	Camden	London,1419,4617,18620,18570,18124,9330,10688,21140,26530,28030,23713,21274,20469,22664,17470,18344,23886,17707,7629,26234,2972,25172,18965,17605,18105,5826,8495,8985,12192,2816,4595,6810,6623,7594,11716,14310,14650,16555,15378,11582,16076,7653,8297,14368,9038,11902,13104,10473,6173
Camden Town with Primrose Hill	Camden	London,4849,6600,22540,22600,17658,8864,8936,19266,32756,27564,23247,23086,26726,30760,21391,14466,27807,17241,3751,30155,1007,24706,17213,21526,22026,7954,12918,12811,14004,4907,8515,7295,8303,11625,15746,18231,18571,20134,19299,14815,17888,11573,12218,12616,11063,14964,17781,12938,5386
Cantelowes	Camden	London,5286,7722,21767,22447,19627,10832,7052,22446,25756,29532,25215,25055,24842,32728,25969,15222,27624,19544,5530,31558,2422,26675,15329,21344,21862,5491,14886,14779,15972,3673,7073,9508,9727,11472,15583,17457,17797,22102,18144,12931,19856,10800,11063,10732,12515,16933,16971,14391,7675
Fortune Green	Camden	London,8662,8648,27094,24646,15567,7924,13089,15019,36290,25472,24564,26154,30260,38355,31387,10220,52398,12118,2551,73792,4931,22615,18983,46117,26375,11893,12890,12783,16827,8583,11585,8157,10282,13670,17792,22740,23174,20106,32403,27908,19679,14805,16030,21226,13124,14937,21238,16412,6442
Frognal and Fitzjohns	Camden	London,6445,8594,23498,24592,18535,10855,8257,17988,33227,28441,27532,29122,27197,32751,28324,13188,30046,15086,3949,70729,2678,25584,15737,23765,24283,7912,14909,14802,19796,5947,8948,9287,10294,13616,17738,19189,19528,22125,29340,15154,22647,12531,12938,12955,13070,16956,19773,14930,7377
Gospel Oak	Camden	London,6397,9223,23579,23548,21056,11484,7318,20509,32288,30962,30053,31643,26258,33380,27385,13285,29107,17607,4578,69791,2630,28104,14798,22827,23344,6973,15538,15431,22317,5486,8886,9916,10923,12572,16694,19270,19609,22754,28402,14216,25168,12612,12875,12017,13683,17585,20385,15559,8006
