index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,totalHeatingPower.y,roomTempUpperSetpoint,weaBus.HDirNor,weaBus.TDryBul,weaDat.weaBus.HGloHor,thermalZone.TAir,u
0,0,1,0,0.0,10017.109298523885,21.0,0.0,271.82,0.0,293.15,0.912621359223301
1,300,1,300,0.0,10871.013199765848,21.0,0.0,271.8280908161068,0.0,294.6740579520934,0.9904173496406518
2,600,1,600,0.0,10866.861316939712,21.0,0.0,271.8357342807924,0.0,295.7269311001476,0.9900390871264669
3,900,1,900,0.0,10876.549043534016,21.0,0.0,271.84298691860465,0.0,296.33308233906655,0.9909216996595637
4,1200,1,1200,0.0,1237.2610821884994,21.0,0.0,271.84990525409125,0.0,296.6899498009929,0.11272222922708366
5,1500,1,1500,0.0,91.34142217498989,21.0,0.0,271.8565458118002,0.0,294.86473183118034,0.00832177531206658
6,1800,1,1800,0.0,95.49330500112579,21.0,0.0,271.86296511627904,0.0,293.59217471069667,0.008700037826251424
7,2100,1,2100,0.0,91.34142217498989,21.0,0.0,271.8692196920758,0.0,292.87285989074445,0.00832177531206658
8,2400,1,2400,0.0,10328.500510484077,21.0,0.0,271.8753660637381,0.0,292.46134910669787,0.9409910477871642
9,2700,1,2700,0.0,10954.050856288566,21.0,0.0,271.8814607558139,0.0,294.3904229613576,0.9979825999243487
10,3000,1,3000,0.0,10913.91598896924,21.0,0.0,271.887560292851,0.0,295.61750722484135,0.9943260622872274
11,3300,1,3300,0.0,10833.646254330624,21.0,0.0,271.893721199397,0.0,296.3100288259409,0.9870129870129881
12,3600,1,3600,0.0,10833.646254330624,21.0,0.0,271.9,0.0,296.69431985000665,0.9870129870129881
13,3900,1,3900,0.0,10826.726449620384,21.0,0.0,271.90602887294085,0.0,296.92371132071537,0.9863825494893455
14,4200,1,4200,0.0,10818.422683968114,21.0,0.0,271.911429869186,0.0,297.0607463468884,0.9856260244609759
15,4500,1,4500,0.0,10778.287816648806,21.0,0.0,271.916244322311,0.0,297.1470702008768,0.9819694868238563
16,4800,1,4800,0.0,923.1019483442167,21.0,0.0,271.92051356589144,0.0,297.1976646524049,0.08410036565376383
