index,seconds_of_day,day_of_year,timestamp,thermalZone.TAir,totalHeatingPower.y,weaBus.HDirNor,weaBus.HDifHor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,weaBus.TDryBul,u
0,0,1,0,293.15,12261.589891239588,0.0,0.0,0.0,20.5,271.82,0.9126213592233009
1,300,1,300,296.47111127193136,13306.82351418722,0.0,0.0,0.0,20.5,271.8280908161068,0.9904173496406519
2,600,1,600,298.2295459205451,13301.741340980017,0.0,0.0,0.0,20.5,271.8357342807924,0.9900390871264669
3,900,1,900,298.9963640253277,13313.599745130137,0.0,0.0,0.0,20.5,271.84298691860465,0.9909216996595638
4,1200,1,1200,299.35234875554005,1514.4876157458136,0.0,0.0,0.0,20.5,271.84990525409125,0.11272222922708366
5,1500,1,1500,295.6781791914815,111.80781055841578,0.0,0.0,0.0,20.5,271.8565458118002,0.00832177531206658
6,1800,1,1800,293.67800244959506,116.88998376561649,0.0,0.0,0.0,20.5,271.86296511627904,0.008700037826251424
7,2100,1,2100,292.8266057141981,111.80781055841578,0.0,0.0,0.0,20.5,271.8692196920758,0.00832177531206658
8,2400,1,2400,292.447036515401,12642.752881779643,0.0,0.0,0.0,20.5,271.8753660637381,0.9409910477871642
9,2700,1,2700,296.35811493630456,13408.466978331233,0.0,0.0,0.0,20.5,271.8814607558139,0.9979825999243487
10,3000,1,3000,298.25448138941954,13359.339303994944,0.0,0.0,0.0,20.5,271.887560292851,0.9943260622872274
11,3300,1,3300,299.04894582833174,13261.083955322412,0.0,0.0,0.0,20.5,271.893721199397,0.9870129870129882
12,3600,1,3600,299.36867437340925,13261.083955322412,0.0,0.0,0.0,20.5,271.9,0.9870129870129882
13,3900,1,3900,299.5210405628499,13252.613666643729,0.0,0.0,0.0,20.5,271.90602887294085,0.9863825494893456
14,4200,1,4200,299.5992237941505,13242.449320229327,0.0,0.0,0.0,20.5,271.911429869186,0.9856260244609759
15,4500,1,4500,299.6457431023582,13193.321645893062,0.0,0.0,0.0,20.5,271.916244322311,0.9819694868238563
16,4800,1,4800,299.66481824643506,1129.9365097342936,0.0,0.0,0.0,20.5,271.92051356589144,0.08410036565376383
