row: origin/col: dest/entries: seconds,West End,Knightsbridge ,Bromley ,Croydon ,Ealing,Shepherds Bush,Wood Green ,Harrow ,Romford ,Uxbridge ,Hounslow ,Kingston ,Ilford ,Sutton ,Barking ,Edgware ,Bexleyheath ,Wembley ,Kilburn ,Orpington ,Camden Town ,Southall ,Enfield Town ,Eltham ,Woolwich ,Dalston ,Fulham ,Hammersmith ,Chiswick ,Angel ,Nags Head ,Kensington High Street ,Kings Road East ,Brixton ,Streatham ,Catford ,Lewisham ,Wimbledon ,East Ham ,Stratford ,Richmond ,Peckham ,Canary Wharf ,Walthamstow ,Clapham Junction ,Putney ,Tooting ,Wandsworth ,Queensway-Westbourne Grove
City of London	City of London	London,0.845758289584432,0.8165033879446312,0.5956321709187826,0.6900760458889352,0.6235566969442933,0.7032622074092597,0.6922768535279236,0.5631504908192702,0.6651464091956658,0.5786004493333705,0.5764550276879787,0.5829152765119582,0.730395239386653,0.5885102257525168,0.7723867019090692,0.5976374868709139,0.7038845082335595,0.6011364633450065,0.7023919104370644,0.6588228820348063,0.8329890092640417,0.5527869613792389,0.6108916532364366,0.7189860521825462,0.6975627916658051,0.7825640157247968,0.7156867926557295,0.7318178768537933,0.6999112776308646,0.8651271181899285,0.912763044683727,0.756431107404901,0.7647730241527408,0.7718403629738305,0.6740299002592693,0.7041335827207817,0.6606902264219737,0.5984838488989659,0.7814573317789429,0.7558960544776826,0.637385689236774,0.8087409144813146,0.8534230392750133,0.6933798880264039,0.747650965075557,0.6644408084034598,0.6695142020776901,0.6798977615766344,0.7669406698934259
Abbey	Barking and Dagenham	London,0.5434787200692719,0.5338548218457094,0.7021434520348316,0.5835343015262167,0.4197757361520672,0.4555234166362196,0.5488893081932626,0.4101598947839484,0.6399842624155754,0.41132243755265185,0.3992076852482302,0.4517518183336817,0.6460126843971492,0.5179478221315964,0.6831528736577587,0.49712144482965565,0.889963107138716,0.42372987287661557,0.4548792259476343,0.7270436257571912,0.5085960536774045,0.37219968417841603,0.5439596320988468,0.8129004311882716,0.850258589155339,0.6353593853285825,0.48367601037662167,0.4784848514281735,0.45762334356996703,0.5572049138488437,0.6622113402365369,0.4945777323701446,0.5021593470548774,0.5825029580311806,0.5868468875905448,0.7450104911691886,0.755495013163645,0.46488511225088913,0.6911755737459065,0.6715306309632921,0.40640427498700993,0.6777363081353075,0.713916543542238,0.6211346930509082,0.5355574048827938,0.49082995893825143,0.5181311016138073,0.5223644761472442,0.48196781504993363
Alibon	Barking and Dagenham	London,0.5957375459155744,0.5852917779437229,0.591118634867225,0.5222720794947661,0.5054568586874826,0.49932479840121435,0.6608071110260778,0.4937909539959734,0.8793218611508363,0.46901519458997754,0.41659479158393065,0.4016870081497409,0.8386073022632582,0.48018070239908517,0.834168671321248,0.5627521527345091,0.6930120147192552,0.5102180808246454,0.5273782454665235,0.6554517621785362,0.5575006963317783,0.4480907067334577,0.6549881358408949,0.7062542775336992,0.6852103792094717,0.6720059667289512,0.5130237075669281,0.5245869063115302,0.5016266462416473,0.6066916214507431,0.7239634808561383,0.5422303376590232,0.5482100498768648,0.570469890951113,0.49817783850691416,0.6551040116717897,0.6642057745154251,0.43689783451155184,0.8303408655836064,0.7058795737079164,0.45689535254515623,0.6344608747691115,0.7824255945673397,0.7434306851008955,0.5244013432054669,0.47620494910970784,0.46030258198509805,0.4985304683548801,0.5284054537653966
Becontree	Barking and Dagenham	London,0.6248817682300227,0.6139249802861987,0.6065843088797925,0.5359364934565185,0.5300906575426585,0.523752389093617,0.693134617463689,0.5179478221315964,0.864209373808369,0.4918729830737504,0.43689783451155184,0.42126350966797654,0.8714245093651349,0.49274386277398685,0.8749772410872699,0.5902826885546455,0.711143566110539,0.5350839212208863,0.5530803986693753,0.6726006096126779,0.5847743243677317,0.4700118618857785,0.6869094476472646,0.7408051159290505,0.7187317239035634,0.7047566546053902,0.5381214659479854,0.5501530216189635,0.5261668461957216,0.6363717307758977,0.7592463550705916,0.568656318119059,0.5749274558571096,0.5982721460893948,0.5224568891458793,0.6870309707690435,0.6966995478015581,0.45827142042199936,0.870962174328128,0.7402811158689048,0.479162471922442,0.6653817759339024,0.8207028286092857,0.7796623073348794,0.5500557096847308,0.4995014879954083,0.4827357551080882,0.5229191994326418,0.55425570631753
Chadwell Heath	Barking and Dagenham	London,0.5742159749630805,0.5640477827279107,0.5703689853369865,0.5038499678747832,0.5321576514664871,0.507876808892033,0.6958373722138562,0.5199674672356418,0.946805831855099,0.49387831197080007,0.438601439652332,0.40936255318804937,0.8558419514982006,0.4633252343115282,0.8040335549948179,0.5925843905620715,0.668567390565696,0.5371703854853748,0.5552370369861831,0.6324438690975869,0.5500557096847308,0.47184458926707007,0.689587928458621,0.6807401872289093,0.6604565192343077,0.7067541920607251,0.4944027844652234,0.5055462805109888,0.5148419715098331,0.6079808540912015,0.697686199501249,0.5225493184935632,0.5283119885752688,0.5497638771459855,0.480095767279045,0.6313260824162157,0.640210725351081,0.42111449533997,0.8002024661720779,0.7549606223720249,0.4715108353716946,0.6114322174461463,0.7541597448421075,0.7827024613707383,0.5054568586874826,0.45900160399496875,0.443595246912201,0.48052059316698975,0.5093163170425816
Eastbrook	Barking and Dagenham	London,0.5720868107302582,0.5620557389510562,0.5827090808025727,0.5147509054498406,0.48060560344419695,0.479501641946808,0.6284290740728458,0.46951326377638797,0.9045653514620197,0.4625881726714556,0.39611252228490684,0.412853276938857,0.8134758340530808,0.47334940773260104,0.801052238622709,0.5590808566821925,0.6830320364999137,0.48513273567919113,0.5014492049112581,0.6461269723551699,0.5353679611617831,0.42605991155522377,0.6227850366735929,0.629653105525963,0.6578911899405387,0.6382883418588814,0.4925695635671828,0.5036717400846806,0.48171210660334696,0.5825029580311806,0.6950992138260293,0.5206117316493559,0.5263530340374436,0.5477253800738826,0.47831559608808216,0.5899695135570128,0.5982721460893948,0.41955302376743403,0.797235355286493,0.6779761298978922,0.4386790338917851,0.6091650572399796,0.7513633580737745,0.7068792259731916,0.5035826498328417,0.45729964891073943,0.4419504178326266,0.4787388467427955,0.5073380428794033
Eastbury	Barking and Dagenham	London,0.6408905950840553,0.6295417314914915,0.610027744378237,0.5389788780343329,0.5510296041006635,0.5258876879144323,0.7205139128843169,0.538311884016044,0.7871456779207694,0.5113023051328339,0.4541556002879827,0.4320558466012478,0.8810345725129741,0.49562872060415186,0.9414613785222968,0.613490727444692,0.7151805597554252,0.5562201051378612,0.5749274558571096,0.6765384712113821,0.599755639847624,0.4885776545810831,0.7140428445668607,0.759649387718869,0.7370145025426094,0.721917303860586,0.5518099609950831,0.564247375005633,0.5395512449306966,0.6525594724588895,0.7786974641536881,0.583224706891235,0.5896565047146495,0.6135992618499719,0.5358416961642113,0.704631996136695,0.7145482721476528,0.46992872544628783,0.8883901787624938,0.7695227304918372,0.4881457054848552,0.6824281712430922,0.8417283892029891,0.8104595061805544,0.564147570039942,0.5122982012957499,0.4951029476118249,0.5363158503640304,0.5683546170112105
Gascoigne	Barking and Dagenham	London,0.6529058722414992,0.6414577046790328,0.6169733690460727,0.5451155579234307,0.572188020249805,0.5459841139974693,0.7480478425138605,0.5589819655784117,0.7871456779207694,0.5309352737964188,0.4715942517067927,0.4400780799456289,0.8802556541900132,0.5012718263475222,0.9774386592959547,0.6370475237008566,0.7234513935347162,0.5775778259707264,0.5970035009117954,0.6842413705265191,0.6109997278320392,0.5072483041261431,0.7414606376241327,0.7740280401309093,0.6662062155898045,0.749504863083802,0.562254626330068,0.5749274558571096,0.5534718907065969,0.6649111257141452,0.7934366587771777,0.5942639909005135,0.6008175298676485,0.625213475787429,0.5459841139974693,0.7179692787234365,0.7279444673767319,0.47882354180612924,0.9225025548765605,0.799070838337229,0.5068895078163503,0.6953451795749941,0.8575089295403554,0.8415795029578297,0.574724085694442,0.5219026562886041,0.5044742619404841,0.546467242993476,0.579112439786955
Goresbrook	Barking and Dagenham	London,0.625213475787429,0.6142508716243605,0.6347976672276844,0.5608638912151668,0.5304658765378223,0.5148419715098331,0.6935025558523602,0.518222765674004,0.8147719801022631,0.49222115009731704,0.43720708796494145,0.44975838843480487,0.8357934349310613,0.5156622913760065,0.875441707452242,0.5905960297957482,0.7442201689401226,0.5354626746442714,0.5534718907065969,0.7038845082335595,0.5850847415900478,0.4702613594620955,0.6873956691436205,0.6859380361809929,0.7191132500684918,0.7052555090560644,0.5384071183163736,0.5505424415436894,0.5265392877630438,0.6367095375789606,0.7597837794722061,0.5690588354040594,0.5753344120997999,0.5986956266210661,0.5228267046598339,0.6427071128282816,0.651751920841477,0.45851468579030713,0.8714245093651349,0.7408051159290505,0.479501641946808,0.6658527592983773,0.8211384843516599,0.7802141829496685,0.5503476971376753,0.4997666396239684,0.4830774544426905,0.5231967819437398,0.5545499232652285
Heath	Barking and Dagenham	London,0.5742159749630805,0.564147570039942,0.5703689853369865,0.5038499678747832,0.5321576514664871,0.507876808892033,0.6958373722138562,0.5199674672356418,0.946805831855099,0.49387831197080007,0.438601439652332,0.40936255318804937,0.8558419514982006,0.4633252343115282,0.8040335549948179,0.5925843905620715,0.668567390565696,0.5371703854853748,0.5552370369861831,0.6324438690975869,0.5500557096847308,0.47184458926707007,0.689587928458621,0.6807401872289093,0.6604565192343077,0.7067541920607251,0.4944027844652234,0.5055462805109888,0.5148419715098331,0.6079808540912015,0.697686199501249,0.5225493184935632,0.5283119885752688,0.5497638771459855,0.480095767279045,0.6313260824162157,0.640210725351081,0.42111449533997,0.8002024661720779,0.7549606223720249,0.4715108353716946,0.6114322174461463,0.7541597448421075,0.7827024613707383,0.5054568586874826,0.45900160399496875,0.443595246912201,0.48052059316698975,0.5093163170425816
Longbridge	Barking and Dagenham	London,0.640210725351081,0.6288739008630374,0.6574258381014577,0.517764607481179,0.5724917562527161,0.5463705830055803,0.7485773401682874,0.5593776349765696,0.7951227286065019,0.5313110906441527,0.47184458926707007,0.47242922714698293,0.9197325236777953,0.4760365002437215,0.9638740732390503,0.6374984509683219,0.7429048278743042,0.577884423057736,0.5973204097785901,0.6499098392689981,0.599013433723198,0.5076073544060613,0.7418542290353781,0.7588435362516387,0.7055050686815769,0.750035392074636,0.5512245898042557,0.5635491108633786,0.5538636598572645,0.6518672241442885,0.7777338149796401,0.5826060103012403,0.5890309851431625,0.6128399240466559,0.5351785844530536,0.7037600040314903,0.7136640085100142,0.46943021552971737,0.9231555384308857,0.7996364520728407,0.5072483041261431,0.6815836566866204,0.8406867383637766,0.8420262407176463,0.5634494294077504,0.5116642249939501,0.4944902506807344,0.5356521518803146,0.5826060103012403
