row: origin/col: dest/entries: meters,West End,Knightsbridge ,Bromley ,Croydon ,Ealing,Shepherds Bush,Wood Green ,Harrow ,Romford ,Uxbridge ,Hounslow ,Kingston ,Ilford ,Sutton ,Barking ,Edgware ,Bexleyheath ,Wembley ,Kilburn ,Orpington ,Camden Town ,Southall ,Enfield Town ,Eltham ,Woolwich ,Dalston ,Fulham ,Hammersmith ,Chiswick ,Angel ,Nags Head ,Kensington High Street ,Kings Road East ,Brixton ,Streatham ,Catford ,Lewisham ,Wimbledon ,East Ham ,Stratford ,Richmond ,Peckham ,Canary Wharf ,Walthamstow ,Clapham Junction ,Putney ,Tooting ,Wandsworth ,Queensway-Westbourne Grove
Thames	Barking and Dagenham	London,19398,21176,23474,38748,37426,27451,24302,37144,10837,48065,41554,35636,5456,40920,3121,35801,27717,34708,26752,39409,21093,39201,25518,17471,17193,16469,25791,25546,28753,18559,14054,23371,23560,21112,25740,20452,19986,30335,4872,11495,32637,18505,10982,15278,23963,28023,27128,25460,23635
Valence	Barking and Dagenham	London,21971,24263,43823,41198,40614,29591,27390,39302,5580,50223,44002,38723,4601,43231,6011,37987,30601,37223,29064,40866,24180,41512,28603,20558,19504,17314,28878,28634,31841,20942,17141,26459,26227,24200,28827,23539,23074,33422,7959,11659,35725,21592,14069,15408,27050,31111,30215,28548,26064
Village	Barking and Dagenham	London,17219,20618,22917,36318,35007,25120,20777,34714,10292,45635,38595,36450,3150,38490,-1,32979,25287,37301,24312,36979,20536,36393,21992,16913,7864,15522,24821,24810,28699,17393,12477,22767,21369,20555,25183,19894,19429,29778,2277,9161,32701,17947,10425,12843,23262,27183,26360,24783,21313
Whalebone	Barking and Dagenham	London,22212,25065,35481,36959,39990,30135,23090,39712,2874,50633,44126,44536,5812,46330,9106,35293,29750,37633,28394,39568,24561,48172,24306,23653,21336,17724,31205,31729,36814,21342,20237,27897,29327,27295,31923,26634,26169,36448,11055,13034,40541,24687,17165,13561,30145,34206,31652,30177,26306
Brunswick Park	Barnet	London,15150,18681,35825,36027,21302,19631,5015,18915,27507,31208,30299,31889,21477,38267,22605,9011,43610,17853,14360,42558,11383,28350,8168,36097,35225,13049,23548,23401,22563,12621,17911,21961,21231,23517,27973,28151,29449,32891,23621,19125,25414,24887,26970,12444,22971,25887,32946,24515,18680
Burnt Oak	Barnet	London,15468,16915,34603,32913,17730,14310,14199,8141,40560,23327,26728,28318,31340,37366,31437,1414,39027,10661,10760,40032,12012,17844,18852,34900,34286,17720,23944,19170,18991,16213,19436,17322,19437,21937,26059,29593,32234,31326,30440,28910,21842,23072,24444,22336,21391,26491,27625,22798,15080
Childs Hill	Barnet	London,9728,9844,28290,25842,15391,8641,10879,14843,30478,25297,20612,25978,24853,30676,29176,10044,35926,11942,3779,33927,5997,18222,16773,28635,28568,11432,13033,13501,12838,9589,12989,9097,11478,14866,18988,23433,24370,24345,26875,22590,16005,16001,19225,19016,14320,15654,21956,17129,7310
Colindale	Barnet	London,14438,14976,33572,30974,14056,12385,13566,7548,36766,22246,23053,24643,30309,36335,30406,3977,37996,7866,7602,39001,10982,18959,26006,33891,33255,17087,21409,17244,15316,15182,17783,12461,17511,19998,24120,28587,29502,27651,29409,27880,18168,21133,23414,21702,20977,22816,25699,20873,13141
Coppetts	Barnet	London,11898,14637,33279,33567,18683,17012,4573,18135,27773,28588,27680,29270,21743,35739,22871,10911,39472,15234,11741,38405,8131,24800,10449,32450,31072,10322,22317,21802,19943,9368,12572,20024,18699,19659,30237,27023,28321,32278,23887,19391,22795,17612,22817,12710,20511,25349,29611,24817,12801
East Barnet	Barnet	London,17641,19952,37023,37313,22775,21104,5557,17326,27868,32681,31772,33362,21838,39483,22965,9218,43976,19273,15833,39939,14275,29824,6659,37695,32596,14808,24809,24685,24036,13562,19195,22745,22342,24801,28947,31299,32597,31598,23981,19486,26887,26148,27971,12804,24255,29092,31145,25788,20153
East Finchley	Barnet	London,9906,12154,32395,28151,17525,15854,5722,16977,29762,27430,26522,28112,23732,31804,24859,9688,35537,14076,7229,34470,6479,24573,12272,30079,27137,9006,19326,17867,18785,8052,11256,12227,13787,17123,21297,22954,23293,30487,25875,21380,21637,16296,18882,14698,16576,21401,25676,24342,10318
