index,seconds_of_day,day_of_year,timestamp,weaBus.HDifHor,totalHeatingPower.y,roomTempUpperSetpoint,weaBus.HDirNor,weaBus.TDryBul,weaDat.weaBus.HGloHor,thermalZone.TAir,u
0,0,1,0,0.0,9261.674861774223,21.0,0.0,271.82,0.0,293.15,0.9126213592233009
1,300,1,300,0.0,10051.182099922162,21.0,0.0,271.8280908161068,0.0,295.7821442176982,0.9904173496406516
2,600,1,600,0.0,10047.343328910098,21.0,0.0,271.8357342807924,0.0,297.2579426668943,0.9900390871264668
3,900,1,900,0.0,10056.30046127157,21.0,0.0,271.84298691860465,0.0,297.93886929246503,0.9909216996595638
4,1200,1,1200,0.0,1143.9537615952142,21.0,0.0,271.84990525409125,0.0,298.2693872101942,0.11272222922708365
5,1500,1,1500,0.0,84.4529622654185,21.0,0.0,271.8565458118002,0.0,295.2608303041922,0.00832177531206658
6,1800,1,1800,0.0,88.29173327748299,21.0,0.0,271.86296511627904,0.0,293.5400821966879,0.008700037826251424
7,2100,1,2100,0.0,84.4529622654185,21.0,0.0,271.8692196920758,0.0,292.7663283086204,0.00832177531206658
8,2400,1,2400,0.0,9549.58268767906,21.0,0.0,271.8753660637381,0.0,292.40739492507686,0.9409910477871644
9,2700,1,2700,0.0,10127.957520163453,21.0,0.0,271.8814607558139,0.0,295.6120281639028,0.9979825999243487
10,3000,1,3000,0.0,10090.84940038015,21.0,0.0,271.887560292851,0.0,297.2594201995128,0.9943260622872272
11,3300,1,3300,0.0,10016.633160813582,21.0,0.0,271.893721199397,0.0,297.9965506616551,0.9870129870129881
12,3600,1,3600,0.0,10016.633160813582,21.0,0.0,271.9,0.0,298.3164982411086,0.9870129870129881
13,3900,1,3900,0.0,10010.235209126797,21.0,0.0,271.90602887294085,0.0,298.47804602196874,0.9863825494893456
14,4200,1,4200,0.0,10002.557667102668,21.0,0.0,271.911429869186,0.0,298.562356160088,0.985626024460976
15,4500,1,4500,0.0,9965.449547319384,21.0,0.0,271.916244322311,0.0,298.613973756456,0.9819694868238563
