Ward name,Latitude,Longitude,Number of dwellings (on council tax register) (2015),Median Household income estimate (2012/13),Estimated ward-level income (£/a),Resulting origin sizes (21% of household budget) (10^8 £/a)
Merton - Lower Morden,51.402305,-0.169717,3490,"38,730","135,167,700",0.28
Merton - Merton Park,51.411406,-0.208017,3790,"46,300","175,477,000",0.37
Merton - Pollards Hill,51.401445,-0.12317,4080,"31,940","130,315,200",0.27
Merton - Ravensbury,51.441058,-0.190812,3960,"32,330","128,026,800",0.27
Merton - Raynes Park,51.406696,-0.23224,4430,"49,340","218,576,200",0.46
Merton - St. Helier,51.3899,-0.19875,4270,"32,530","138,903,100",0.29
Merton - Trinity,51.421693,-0.197064,4420,"47,380","209,419,600",0.44
Merton - Village,51.448446,-0.199277,3670,"62,200","228,274,000",0.48
Merton - West Barnes,51.397779,-0.238714,3870,"44,170","170,937,900",0.36
Merton - Wimbledon Park,51.434534,-0.199526,4490,"50,730","227,777,700",0.48
Newham - Beckton,51.510493,0.067811,5790,"34,100","197,439,000",0.41
Newham - Boleyn,51.53886,0.029471,4860,"31,630","153,721,800",0.32
Newham - Canning Town North,51.514105,0.01874,5990,"28,910","173,170,900",0.36
Newham - Canning Town South,51.514105,0.01874,6940,"32,870","228,117,800",0.48
Newham - Custom House,51.509866,0.026244,5080,"31,840","161,747,200",0.34
Newham - East Ham Central,51.529318,0.052763,4560,"32,380","147,652,800",0.31
Newham - East Ham North,51.528737,0.055472,3730,"32,340","120,628,200",0.25
Newham - East Ham South,51.528737,0.055472,5210,"31,430","163,750,300",0.34
Newham - Forest Gate North,51.545791,0.024397,5720,"34,270","196,024,400",0.41
Newham - Forest Gate South,51.545791,0.024397,5990,"34,550","206,954,500",0.43
Newham - Green Street East,51.538595,0.033368,4240,"31,570","133,856,800",0.28
Newham - Green Street West,51.538595,0.033368,4070,"31,080","126,495,600",0.27
Newham - Little Ilford,51.55163,0.058857,5240,"29,730","155,785,200",0.33
Newham - Manor Park,51.549395,0.048641,4720,"31,580","149,057,600",0.31
Newham - Plaistow North,51.527552,0.012627,5150,"30,740","158,311,000",0.33
Newham - Plaistow South,51.527552,0.012627,5480,"31,750","173,990,000",0.37
Newham - Royal Docks,51.513839,0.070573,5200,"38,580","200,616,000",0.42
Newham - Stratford and New Town,51.507351,-0.127758,11790,"35,840","422,553,600",0.89
Newham - Wall End,51.536762,0.061442,4380,"32,330","141,605,400",0.30
Newham - West Ham,51.538265,0.014525,5510,"32,310","178,028,100",0.37
Redbridge - Aldborough,51.589492,0.103124,5180,"37,310","193,265,800",0.41
Redbridge - Barkingside,51.588497,0.080808,4420,"39,620","175,120,400",0.37
Redbridge - Bridge,51.605984,0.057462,4900,"39,320","192,668,000",0.40
Redbridge - Chadwell,51.581452,0.118146,5440,"36,700","199,648,000",0.42
Redbridge - Church End,51.584549,-0.011744,5140,"45,410","233,407,400",0.49
Redbridge - Clayhall,51.584166,0.062276,4120,"41,450","170,774,000",0.36
Redbridge - Clementswood,51.553101,0.073299,4710,"30,230","142,383,300",0.30
Redbridge - Cranbrook,51.568319,0.054683,4130,"38,290","158,137,700",0.33
Redbridge - Fairlop,51.59219,0.081033,5140,"37,560","193,058,400",0.41
Redbridge - Fullwell,51.574818,0.050754,4980,"35,690","177,736,200",0.37
Redbridge - Goodmayes,51.563944,0.110134,4430,"33,820","149,822,600",0.31
Redbridge - Hainault,51.608139,0.10079,5400,"31,520","170,208,000",0.36
Redbridge - Loxford,51.548665,0.079912,5140,"28,500","146,490,000",0.31
Redbridge - Mayfield,51.605111,0.023655,4390,"35,630","156,415,700",0.33
Redbridge - Monkhams,51.620238,0.035386,4490,"48,780","219,022,200",0.46
Redbridge - Newbury,51.575104,0.092449,5360,"35,550","190,548,000",0.40
Redbridge - Roding,51.578267,0.067526,4880,"41,040","200,275,200",0.42
Redbridge - Seven Kings,51.566967,0.093946,4890,"34,480","168,607,200",0.35
Redbridge - Snaresbrook,51.58405,0.018068,5500,"45,160","248,380,000",0.52
Redbridge - Valentines,51.558126,0.067694,5020,"34,900","175,198,000",0.37
Redbridge - Wanstead,51.576451,0.021154,4660,"46,370","216,084,200",0.45
Richmond upon Thames - Barnes,51.475265,-0.239303,4460,"55,450","247,307,000",0.52
Richmond upon Thames - East Sheen,51.462851,-0.267883,4270,"56,090","239,504,300",0.50
Richmond upon Thames - Fulwell and Hampton Hill,51.432379,-0.348814,4510,"48,810","220,133,100",0.46
"Richmond upon Thames - Ham, Petersham & Richmond Riverside",51.458948,-0.308818,4620,"44,870","207,299,400",0.44
Richmond upon Thames - Hampton,51.413394,-0.366712,4330,"46,750","202,427,500",0.43
Richmond upon Thames - Hampton North,51.414148,-0.361323,4140,"39,440","163,281,600",0.34
Richmond upon Thames - Hampton Wick,51.413541,-0.321331,4870,"46,760","227,721,200",0.48
Richmond upon Thames - Heathfield,51.451858,-0.336576,4020,"36,950","148,539,000",0.31
Richmond upon Thames - Kew,51.475251,-0.284891,5190,"52,130","270,554,700",0.57
Richmond upon Thames - Mortlake and Barnes Common,51.468125,-0.241399,5150,"50,100","258,015,000",0.54
Richmond upon Thames - North Richmond,51.461311,-0.303742,5000,"50,860","254,300,000",0.53
Richmond upon Thames - St. Margarets & North Twickenham,51.470875,-0.328423,4770,"52,870","252,189,900",0.53
Richmond upon Thames - South Richmond,51.461311,-0.303742,5480,"52,690","288,741,200",0.61
Richmond upon Thames - South Twickenham,51.444581,-0.335246,4240,"51,380","217,851,200",0.46
Richmond upon Thames - Teddington,51.426799,-0.331342,4760,"50,600","240,856,000",0.51
Richmond upon Thames - Twickenham Riverside,51.447558,-0.315743,5050,"51,350","259,317,500",0.54
Richmond upon Thames - West Twickenham,51.444581,-0.335246,4420,"45,040","199,076,800",0.42
Richmond upon Thames - Whitton,51.453848,-0.373265,3900,"42,230","164,697,000",0.35
Southwark - Brunswick Park,51.474953,-0.085455,5800,"36,310","210,598,000",0.44
Southwark - Camberwell Green,51.475193,-0.092234,6390,"31,840","203,457,600",0.43
Southwark - Cathedrals,51.497659,-0.107548,8060,"40,430","325,865,800",0.68
Southwark - Chaucer,51.489755,-0.074095,7170,"37,780","270,882,600",0.57
Southwark - College,51.502914,-0.105903,5380,"42,600","229,188,000",0.48
Southwark - East Dulwich,51.454564,-0.07321,5440,"48,670","264,764,800",0.56
Southwark - East Walworth,51.489876,-0.092897,5220,"31,010","161,872,200",0.34
Southwark - Faraday,51.499414,-0.092081,5450,"30,760","167,642,000",0.35
Southwark - Grange,51.495835,-0.077162,8330,"38,500","320,705,000",0.67
Southwark - Livesey,51.48303,-0.066078,6560,"28,880","189,452,800",0.40
Southwark - Newington,51.500194,-0.103378,7240,"34,190","247,535,600",0.52
Southwark - Nunhead,51.464821,-0.055261,6100,"33,540","204,594,000",0.43
Southwark - Peckham,51.474191,-0.069137,5120,"30,030","153,753,600",0.32
Southwark - Peckham Rye,51.460511,-0.060837,6040,"42,820","258,632,800",0.54
Southwark - Riverside,51.507762,-0.094864,7980,"43,110","344,017,800",0.72
Southwark - Rotherhithe,51.498235,-0.045992,6950,"36,970","256,941,500",0.54
Southwark - South Bermondsey,51.48814,-0.05465,6000,"31,150","186,900,000",0.39
Southwark - South Camberwell,51.474085,-0.093014,5330,"41,130","219,222,900",0.46
Southwark - Surrey Docks,51.497596,-0.049638,6500,"45,410","295,165,000",0.62
Southwark - The Lane,51.508708,-0.094148,6800,"37,940","257,992,000",0.54
Southwark - Village,51.502781,-0.087738,4730,"58,400","276,232,000",0.58
Sutton - Beddington North,51.368509,-0.134218,4130,"39,290","162,267,700",0.34
Sutton - Beddington South,51.368509,-0.134218,4210,"35,600","149,876,000",0.31
Sutton - Belmont,51.343119,-0.198743,4500,"44,260","199,170,000",0.42
Sutton - Carshalton Central,51.354235,-0.17284,4380,"42,200","184,836,000",0.39
Sutton - Carshalton South and Clockhouse,51.507351,-0.127758,3820,"44,270","169,111,400",0.36
Sutton - Cheam,51.361927,-0.218926,4160,"46,220","192,275,200",0.40
Sutton - Nonsuch,51.360026,-0.217831,4110,"42,640","175,250,400",0.37
Sutton - St. Helier,51.385429,-0.178818,4630,"31,040","143,715,200",0.30
Sutton - Stonecot,51.382952,-0.214831,4030,"39,210","158,016,300",0.33
Sutton - Sutton Central,51.378911,-0.242302,5600,"35,660","199,696,000",0.42
Sutton - Sutton North,51.361428,-0.193961,4210,"38,060","160,232,600",0.34
Sutton - Sutton South,51.361428,-0.193961,5080,"40,460","205,536,800",0.43
Sutton - Sutton West,51.372949,-0.205482,4820,"41,610","200,560,200",0.42
Sutton - The Wrythe,51.373354,-0.175639,4400,"36,790","161,876,000",0.34
Sutton - Wallington North,51.363978,-0.151845,4770,"38,710","184,646,700",0.39
Sutton - Wallington South,51.363978,-0.151845,4650,"37,960","176,514,000",0.37
Sutton - Wandle Valley,51.419893,-0.178781,4940,"32,330","159,710,200",0.34
Sutton - Worcester Park,51.38029,-0.24468,4950,"40,610","201,019,500",0.42
Tower Hamlets - Bethnal Green North,51.526974,-0.06672,5800,"36,230","210,134,000",0.44
Tower Hamlets - Bethnal Green South,51.526974,-0.06672,5780,"32,860","189,930,800",0.40
Tower Hamlets - Blackwall and Cubitt Town,51.508296,-0.003815,9680,"43,330","419,434,400",0.88
Tower Hamlets - Bow East,51.530627,-0.028353,7570,"36,800","278,576,000",0.59
Tower Hamlets - Bow West,51.530627,-0.028353,5290,"41,000","216,890,000",0.46
Tower Hamlets - Bromley-by-Bow,51.522444,-0.008645,6820,"31,980","218,103,600",0.46
Tower Hamlets - East India and Lansbury,51.507351,-0.127758,6070,"29,680","180,157,600",0.38
Tower Hamlets - Limehouse,51.51324,-0.035233,7410,"36,260","268,686,600",0.56
Tower Hamlets - Mile End and Globe Town,51.522517,-0.041814,6490,"34,300","222,607,000",0.47
Tower Hamlets - Mile End East,51.526806,-0.039713,5730,"32,510","186,282,300",0.39
Tower Hamlets - Millwall,51.49767,-0.020534,13010,"46,940","610,689,400",1.28
Tower Hamlets - St. Dunstan's and Stepney Green,51.501869,-0.092163,6840,"32,930","225,241,200",0.47
Tower Hamlets - St. Katherine's and Wapping,51.5044,-0.055746,6990,"50,770","354,882,300",0.75
Tower Hamlets - Shadwell,51.511218,-0.050716,6290,"36,360","228,704,400",0.48
Tower Hamlets - Spitalfields and Banglatown,51.507351,-0.127758,5390,"39,910","215,114,900",0.45
Tower Hamlets - Weavers,51.522706,-0.067059,6250,"37,760","236,000,000",0.50
Tower Hamlets - Whitechapel,51.513949,-0.070728,7930,"37,600","298,168,000",0.63
Waltham Forest - Cann Hall,51.555378,0.011371,4980,"32,700","162,846,000",0.34
Waltham Forest - Cathall,51.559786,0.004342,4650,"30,950","143,917,500",0.30
Waltham Forest - Chapel End,51.599222,-0.015747,5050,"36,440","184,022,000",0.39
Waltham Forest - Chingford Green,51.635007,0.011015,4650,"39,280","182,652,000",0.38
Waltham Forest - Endlebury,51.625402,-0.003447,4460,"38,580","172,066,800",0.36
Waltham Forest - Forest,51.570247,0.01212,4580,"36,080","165,246,400",0.35
Waltham Forest - Grove Green,51.56701,0.005673,5440,"36,350","197,744,000",0.42
Waltham Forest - Hale End and Highams Park,51.607554,-0.003815,4550,"39,490","179,679,500",0.38
Waltham Forest - Hatch Lane,51.618714,0.004447,4650,"36,110","167,911,500",0.35
Waltham Forest - High Street,51.583287,-0.02667,5840,"34,810","203,290,400",0.43
Waltham Forest - Higham Hill,51.593388,-0.030667,5090,"31,270","159,164,300",0.33
Waltham Forest - Hoe Street,51.582821,-0.018319,5710,"34,890","199,221,900",0.42
Waltham Forest - Larkswood,51.615276,-0.013932,4630,"35,170","162,837,100",0.34
Waltham Forest - Lea Bridge,51.562137,-0.045763,5690,"31,450","178,950,500",0.38
Waltham Forest - Leyton,51.561948,-0.013139,5750,"31,040","178,480,000",0.37
Waltham Forest - Leytonstone,51.568463,0.009983,4970,"38,700","192,339,000",0.40
Waltham Forest - Markhouse,51.575148,-0.029574,5180,"33,780","174,980,400",0.37
Waltham Forest - Valley,51.625341,-0.021916,4600,"34,250","157,550,000",0.33
Waltham Forest - William Morris,51.59047,-0.028096,5140,"35,070","180,259,800",0.38
Waltham Forest - Wood Street,51.586305,-0.002407,5530,"35,130","194,268,900",0.41
Wandsworth - Balham,51.442831,-0.152614,6660,"53,420","355,777,200",0.75
Wandsworth - Bedford,51.439404,-0.155508,6500,"46,410","301,665,000",0.63
Wandsworth - Earlsfield,51.441971,-0.187674,6940,"44,360","307,858,400",0.65
Wandsworth - East Putney,51.458868,-0.210977,7600,"49,010","372,476,000",0.78
Wandsworth - Fairfield,51.45791,-0.19015,6920,"48,590","336,242,800",0.71
Wandsworth - Furzedown,51.427091,-0.152778,6190,"38,240","236,705,600",0.50
Wandsworth - Graveney,51.429784,-0.170135,6340,"37,960","240,666,400",0.51
Wandsworth - Latchmere,51.468314,-0.163255,7690,"34,990","269,073,100",0.57
Wandsworth - Nightingale,51.450228,-0.157353,6520,"50,790","331,150,800",0.70
Wandsworth - Northcote,51.457078,-0.165644,6380,"55,810","356,067,800",0.75
Wandsworth - Queenstown,51.475956,-0.147902,8630,"39,580","341,575,400",0.72
Wandsworth - Roehampton,51.453886,-0.245483,6290,"30,320","190,712,800",0.40
Wandsworth - St. Mary's Park,51.479221,-0.165685,8970,"44,720","401,138,400",0.84
Wandsworth - Shaftesbury,51.429137,-0.178377,6640,"50,410","334,722,400",0.70
Wandsworth - Southfields,51.447491,-0.199689,7480,"48,160","360,236,800",0.76
Wandsworth - Thamesfield,51.457072,-0.181782,7360,"55,380","407,596,800",0.86
Wandsworth - Tooting,51.420845,-0.168075,6390,"36,000","230,040,000",0.48
Wandsworth - Wandsworth Common,51.453165,-0.169008,5730,"51,420","294,636,600",0.62
Wandsworth - West Hill,51.453456,-0.212072,6930,"40,360","279,694,800",0.59
Wandsworth - West Putney,51.460574,-0.21718,6720,"43,280","290,841,600",0.61
Westminster - Abbey Road,51.535052,-0.180758,5890,"52,200","307,458,000",0.65
Westminster - Bayswater,51.513434,-0.183801,5950,"49,960","297,262,000",0.62
Westminster - Bryanston and Dorset Square,51.519455,-0.157098,7600,"51,370","390,412,000",0.82
Westminster - Churchill,51.493717,-0.147363,5270,"39,530","208,323,100",0.44
Westminster - Church Street,51.522775,-0.171286,4940,"26,290","129,872,600",0.27
Westminster - Harrow Road,51.522592,-0.193959,5460,"35,000","191,100,000",0.40
Westminster - Hyde Park,51.507268,-0.16573,8060,"46,880","377,852,800",0.79
Westminster - Knightsbridge and Belgravia,51.502092,-0.159415,6080,"88,330","537,046,400",1.13
Westminster - Lancaster Gate,51.51165,-0.179702,7440,"49,290","366,717,600",0.77
Westminster - Little Venice,51.5222,-0.180528,5150,"48,770","251,165,500",0.53
Westminster - Maida Vale,51.527928,-0.183626,4730,"45,660","215,971,800",0.45
Westminster - Marylebone High Street,51.519973,-0.151808,6780,"58,370","395,748,600",0.83
Westminster - Queen's Park,51.532856,-0.20398,5200,"32,260","167,752,000",0.35
Westminster - Regent's Park,51.531271,-0.156969,7080,"46,510","329,290,800",0.69
Westminster - St. James's,51.506993,-0.13606,7680,"52,520","403,353,600",0.85
Westminster - Tachbrook,51.490487,-0.136876,5090,"47,340","240,960,600",0.51
Westminster - Vincent Square,51.493043,-0.133748,5930,"46,550","276,041,500",0.58
Westminster - Warwick,51.511132,-0.137464,5430,"50,250","272,857,500",0.57
Westminster - Westbourne,51.515295,-0.191661,5590,"32,390","181,060,100",0.38
Westminster - West End,51.51509,-0.133648,8290,"54,970","455,701,300",0.96
