Ward name,Latitude,Longitude,Number of dwellings (on council tax register) (2015),Median Household income estimate (2012/13),Estimated ward-level income (£/a),Resulting origin sizes (21% of household budget) (10^8 £/a)
Haringey - Northumberland Park,51.605449,-0.059979,6060,"25,090","152,045,400",0.32
Haringey - St. Ann's,51.581113,-0.086291,5580,"32,460","181,126,800",0.38
Haringey - Seven Sisters,51.583417,-0.072434,5930,"33,500","198,655,000",0.42
Haringey - Stroud Green,51.574117,-0.110329,5310,"44,780","237,781,800",0.50
Haringey - Tottenham Green,51.587466,-0.071535,6620,"28,920","191,450,400",0.40
Haringey - Tottenham Hale,51.592578,-0.061062,6850,"27,340","187,279,000",0.39
Haringey - West Green,51.586254,-0.086763,5370,"31,110","167,060,700",0.35
Haringey - White Hart Lane,51.606153,-0.08849,4940,"27,010","133,429,400",0.28
Haringey - Woodside,51.603616,-0.11073,5710,"32,010","182,777,100",0.38
Harrow - Belmont,51.601249,-0.319275,3730,"42,380","158,077,400",0.33
Harrow - Canons,51.613127,-0.287698,5420,"39,890","216,203,800",0.45
Harrow - Edgware,51.614629,-0.277437,3880,"33,600","130,368,000",0.27
Harrow - Greenhill,51.583011,-0.332767,5400,"37,550","202,770,000",0.43
Harrow - Harrow on the Hill,51.570632,-0.339636,4800,"39,630","190,224,000",0.40
Harrow - Harrow Weald,51.604895,-0.340692,4290,"36,940","158,472,600",0.33
Harrow - Hatch End,51.608801,-0.370075,4120,"42,350","174,482,000",0.37
Harrow - Headstone North,51.597901,-0.337076,3680,"44,470","163,649,600",0.34
Harrow - Headstone South,51.597901,-0.337076,4270,"39,090","166,914,300",0.35
Harrow - Kenton East,51.580677,-0.301482,3520,"32,880","115,737,600",0.24
Harrow - Kenton West,51.580677,-0.301482,3500,"38,400","134,400,000",0.28
Harrow - Marlborough,51.590248,-0.337736,4620,"34,450","159,159,000",0.33
Harrow - Pinner,51.595172,-0.378002,4300,"43,950","188,985,000",0.40
Harrow - Pinner South,51.595172,-0.378002,3970,"49,420","196,197,400",0.41
Harrow - Queensbury,51.591869,-0.290707,3670,"35,030","128,560,100",0.27
Harrow - Rayners Lane,51.575804,-0.375362,3850,"40,310","155,193,500",0.33
Harrow - Roxbourne,51.567216,-0.36313,4810,"32,130","154,545,300",0.32
Harrow - Roxeth,51.571076,-0.346111,3940,"35,110","138,333,400",0.29
Harrow - Stanmore Park,51.621857,-0.317738,4720,"39,210","185,071,200",0.39
Harrow - Wealdstone,51.597901,-0.337076,4090,"32,080","131,207,200",0.28
Harrow - West Harrow,51.577783,-0.353272,3850,"40,210","154,808,500",0.33
Havering - Brooklands,51.583252,0.174113,7050,"35,250","248,512,500",0.52
Havering - Cranham,51.56192,0.268036,5300,"42,250","223,925,000",0.47
Havering - Elm Park,51.546122,0.203161,5450,"34,730","189,278,500",0.40
Havering - Emerson Park,51.57201,0.225394,4740,"43,790","207,564,600",0.44
Havering - Gooshays,51.603178,0.228345,6260,"29,400","184,044,000",0.39
Havering - Hacton,51.544018,0.231187,5050,"39,740","200,687,000",0.42
Havering - Harold Wood,51.590448,0.235288,6030,"37,010","223,170,300",0.47
Havering - Havering Park,51.607707,0.157121,5350,"33,590","179,706,500",0.38
Havering - Heaton,51.598909,0.207474,5700,"29,560","168,492,000",0.35
Havering - Hylands,51.571039,0.200595,5240,"39,890","209,023,600",0.44
Havering - Mawneys,51.588775,0.158259,5490,"35,820","196,651,800",0.41
Havering - Pettits,51.587239,0.185784,5300,"40,010","212,053,000",0.45
Havering - Rainham and Wennington,51.5065,0.214303,5250,"34,470","180,967,500",0.38
Havering - Romford Town,51.577076,0.178319,7660,"37,160","284,645,600",0.60
Havering - St. Andrew's,51.560696,0.226231,5920,"38,130","225,729,600",0.47
Havering - South Hornchurch,51.528252,0.188633,5720,"33,160","189,675,200",0.40
Havering - Squirrel's Heath,51.588722,0.230957,5840,"41,740","243,761,600",0.51
Havering - Upminster,51.555914,0.248894,5310,"47,580","252,649,800",0.53
Hillingdon - Barnhill,51.587397,-0.392828,4440,"31,800","141,192,000",0.30
Hillingdon - Botwell,51.507423,-0.41949,5940,"30,700","182,358,000",0.38
Hillingdon - Brunel,51.502586,-0.42251,4910,"34,630","170,033,300",0.36
Hillingdon - Cavendish,51.506133,-0.4633,4560,"43,970","200,503,200",0.42
Hillingdon - Charville,51.537206,-0.429536,4540,"35,410","160,761,400",0.34
Hillingdon - Eastcote and East Ruislip,51.577812,-0.389213,5190,"47,380","245,902,200",0.52
Hillingdon - Harefield,51.60314,-0.484045,3160,"37,990","120,048,400",0.25
Hillingdon - Heathrow Villages,51.482007,-0.462204,4780,"33,170","158,552,600",0.33
Hillingdon - Hillingdon East,51.53427,-0.455018,4710,"37,250","175,447,500",0.37
Hillingdon - Ickenham,51.563966,-0.442299,4070,"48,770","198,493,900",0.42
Hillingdon - Manor,51.566754,-0.407218,4610,"43,460","200,350,600",0.42
Hillingdon - Northwood,51.610289,-0.428278,4940,"46,550","229,957,000",0.48
Hillingdon - Northwood Hills,51.60165,-0.410168,4950,"43,320","214,434,000",0.45
