parameter,bin_idx,x,y
t_infectious,46,14.8,0.1007460669528871
t_infectious,47,15.1,0.0989516567879743
t_infectious,48,15.4,0.0980727655339076
t_infectious,49,15.7,0.0967158644453966
t_infectious,50,16.0,0.0942347395360474
t_infectious,51,16.299999999999997,0.0914298191196208
t_infectious,52,16.6,0.0889917547848102
t_infectious,53,16.9,0.0862646414479991
t_infectious,54,17.2,0.0817982298549049
t_infectious,55,17.5,0.0787011406265648
t_infectious,56,17.8,0.0754564250264335
t_infectious,57,18.1,0.0703960163316999
t_infectious,58,18.4,0.0670270428316096
t_infectious,59,18.7,0.0636302479471943
t_infectious,60,19.0,0.0592815597206104
t_infectious,61,19.3,0.0550436960509966
t_infectious,62,19.6,0.05178660246808
t_infectious,63,19.9,0.0485833751561879
t_infectious,64,20.2,0.0436196417037746
t_infectious,65,20.5,0.0407018889995645
t_infectious,66,20.8,0.0378919432057229
t_infectious,67,21.1,0.0333782230994612
t_infectious,68,21.4,0.030895210902762
t_infectious,69,21.7,0.0285512338180795
t_infectious,70,22.0,0.0254656758699597
t_infectious,71,22.3,0.0226468108491001
t_infectious,72,22.6,0.0207851640275399
t_infectious,73,22.9,0.0190228104606392
t_infectious,74,23.2,0.0160189790731424
t_infectious,75,23.5,0.0146072503038441
t_infectious,76,23.8,0.0132983958340279
t_infectious,77,24.1,0.0109427253868093
t_infectious,78,24.4,0.0099022851261073
t_infectious,79,24.7,0.008961750114203
t_infectious,80,25.0,0.0076235680825574
t_infectious,81,25.3,0.0064673790829574
t_infectious,82,25.6,0.0058201673453001
t_infectious,83,25.9,0.0052156527155458
t_infectious,84,26.2,0.0040637239279369
t_infectious,85,26.5,0.0036372520967865
t_infectious,86,26.8,0.0032517435600586
t_infectious,87,27.1,0.0024623647599677
t_infectious,88,27.4,0.0021839215742923
t_infectious,89,27.7,0.0019429559946353
t_infectious,90,28.0,0.0015654899523509
t_infectious,91,28.3,0.001258122766261
t_infectious,92,28.6,0.0011140636565637
t_infectious,93,28.9,0.0009788994649898
t_infectious,94,29.2,0.0006945686992998
t_infectious,95,29.5,0.0006121880864772
t_infectious,96,29.8,0.0005391308665791
t_infectious,97,30.1,0.0003700067788032
t_infectious,98,30.4,0.0003219660724329
t_infectious,99,30.7,0.0002824971517255
alpha,0,0.0,1.0
alpha,1,0.01,1.0
alpha,2,0.02,1.0
alpha,3,0.03,1.0
alpha,4,0.04,1.0
alpha,5,0.05,1.0
alpha,6,0.06,1.0
alpha,7,0.07,1.0
alpha,8,0.08,1.0
alpha,9,0.09,1.0
alpha,10,0.1,1.0
alpha,11,0.11,1.0
alpha,12,0.12,1.0
alpha,13,0.13,1.0
alpha,14,0.14,1.0
alpha,15,0.15,1.0
alpha,16,0.16,1.0
alpha,17,0.17,1.0
alpha,18,0.18,1.0
alpha,19,0.19,1.0
alpha,20,0.2,1.0
alpha,21,0.21,1.0
alpha,22,0.22,1.0
alpha,23,0.23,1.0
alpha,24,0.24,1.0
alpha,25,0.25,1.0
alpha,26,0.26,1.0
alpha,27,0.27,1.0
alpha,28,0.28,1.0
alpha,29,0.29,1.0
alpha,30,0.3,1.0
alpha,31,0.31,1.0
alpha,32,0.32,1.0
alpha,33,0.33,1.0
alpha,34,0.34,1.0
alpha,35,0.35000000000000003,1.0
alpha,36,0.36,1.0
alpha,37,0.37,1.0
alpha,38,0.38,1.0
alpha,39,0.39,1.0
alpha,40,0.4,1.0
alpha,41,0.41000000000000003,1.0
alpha,42,0.42,1.0
alpha,43,0.43,1.0
alpha,44,0.44,1.0
alpha,45,0.45,1.0
alpha,46,0.46,1.0
alpha,47,0.47000000000000003,1.0
alpha,48,0.48,1.0
alpha,49,0.49,1.0
alpha,50,0.5,1.0
alpha,51,0.51,1.0
alpha,52,0.52,1.0
alpha,53,0.53,1.0
alpha,54,0.54,1.0
alpha,55,0.55,1.0
alpha,56,0.56,1.0
alpha,57,0.5700000000000001,1.0
alpha,58,0.58,1.0
alpha,59,0.59,1.0
alpha,60,0.6,1.0
alpha,61,0.61,1.0
alpha,62,0.62,1.0
alpha,63,0.63,1.0
alpha,64,0.64,1.0
alpha,65,0.65,1.0
alpha,66,0.66,1.0
alpha,67,0.67,1.0
alpha,68,0.68,1.0
alpha,69,0.6900000000000001,1.0
alpha,70,0.7000000000000001,1.0
alpha,71,0.71,1.0
alpha,72,0.72,1.0
alpha,73,0.73,1.0
alpha,74,0.74,1.0
alpha,75,0.75,1.0
alpha,76,0.76,1.0
alpha,77,0.77,1.0
alpha,78,0.78,1.0
alpha,79,0.79,1.0
alpha,80,0.8,1.0
alpha,81,0.81,1.0
alpha,82,0.8200000000000001,1.0
alpha,83,0.8300000000000001,1.0
alpha,84,0.84,1.0
alpha,85,0.85,1.0
alpha,86,0.86,1.0
alpha,87,0.87,1.0
alpha,88,0.88,1.0
alpha,89,0.89,1.0
alpha,90,0.9,1.0
alpha,91,0.91,1.0
alpha,92,0.92,1.0
alpha,93,0.93,1.0
alpha,94,0.9400000000000001,1.0
alpha,95,0.9500000000000001,1.0
alpha,96,0.96,1.0
alpha,97,0.97,1.0
alpha,98,0.98,1.0
alpha,99,1.0,1.0
