,susceptible,exposed,infected,recovered,symptomatic,hospitalized,critical,deceased,quarantine_S,quarantine_E,quarantine_I,contact_traced
2020-03-17,0.9981234305971451,0.0006557362373720419,0.00038605631722415435,0.00031891608814169276,0.0004979566990282571,1.4547049634533354e-05,4.476015272164109e-06,1.4001670512908736e-07,0.0005471928670220623,0.0,0.0,0.0
2020-03-18,0.9979746030893457,0.0006501412182818367,0.0004073173897669339,0.00037262827140766203,0.0005729299548370059,1.9023064906697463e-05,4.476015272164109e-06,2.097895071325848e-07,0.0006244041304668931,0.0,0.0,0.0
2020-03-19,0.997845917650271,0.0006411891877375086,0.00041403141267518003,0.0004408875043081647,0.0006277611419210162,2.6856091632984652e-05,4.476015272164109e-06,3.0481613401662117e-07,0.0007049724053658471,0.0,0.0,0.0
2020-03-20,0.9977071611768339,0.0006232851266488521,0.00042969746612775444,0.0005046707219365032,0.000700496390093683,3.0213103087107732e-05,5.5950190902051355e-06,4.3035722254659844e-07,0.000783302672628719,0.0,0.0,0.0
2020-03-21,0.9975560956613984,0.0006501412182818367,0.0003983653592226057,0.0005740489586550469,0.000781064664992637,3.468911835927184e-05,6.714022908246163e-06,5.914615001830584e-07,0.000863870947527673,0.0,0.0,0.0
2020-03-22,0.9974386002605041,0.0006120950884684419,0.00043417348139991856,0.0006635692640983291,0.0008079207566256216,3.580812217731287e-05,8.952030544328217e-06,7.925341574697229e-07,0.0009231781498838474,0.0,0.0,0.0
2020-03-23,0.9973412469283345,0.0005572639013844315,0.00044872053103445187,0.0007631606039039806,0.0008392528635307704,4.1403141267518005e-05,1.0071034362369245e-05,1.0368967109163216e-06,0.0009556292606070372,0.0,0.0,0.0
2020-03-24,0.9972103234816238,0.0005460738632040213,0.000411793405039098,0.0008683469627998371,0.0009041550849771499,4.5879156539682115e-05,1.4547049634533354e-05,1.3264679607819007e-06,0.0010373165393240322,0.0,0.0,0.0
2020-03-25,0.997107375130364,0.0005214557792071186,0.00041067440122105695,0.0009701763102415705,0.0009242971537018884,5.035517181184622e-05,1.6785057270615407e-05,1.6616372376926163e-06,0.001069767650047222,0.0,0.0,0.0
2020-03-26,0.9970021887714681,0.0005091467372086674,0.0003950083477684826,0.001065291634775058,0.0009511532453348731,6.154520999225649e-05,1.6785057270615407e-05,2.041383842777816e-06,0.001108932783678658,0.0,0.0,0.0
2020-03-27,0.9969025974316624,0.0004923616799380519,0.000371509267589621,0.0011570499478544222,0.000990318378966309,6.378321762833855e-05,2.349908017886157e-05,2.463578134701478e-06,0.001150335924946176,0.0,0.0,0.0
2020-03-28,0.9968007680842207,0.0004923616799380519,0.00033905815686643124,0.0012790213640208941,0.0009970324018745552,6.714022908246163e-05,2.5737087814943625e-05,2.925539776495584e-06,0.0011861440471234888,0.0,0.0,0.0
2020-03-29,0.9967213188131397,0.0004587915653968211,0.0003513671988648825,0.0013886837381889147,0.0009791283407858987,7.609225962678985e-05,2.5737087814943625e-05,3.4246244658151213e-06,0.0011727160013069965,0.0,0.0,0.0
2020-03-30,0.9966262034886063,0.00045207754248857495,0.0003412961645025133,0.00148156105508632,0.0009936753904204322,7.83302672628719e-05,2.797509545102568e-05,3.958972356533207e-06,0.0011771920165791607,0.0,0.0,0.0
2020-03-31,0.9965221361335285,0.0004587915653968211,0.0003245111072318979,0.0016012944636167098,0.0009791283407858987,8.728229780720012e-05,2.797509545102568e-05,4.528137254046465e-06,0.001192858070031735,0.0,0.0,0.0
2020-04-01,0.9964482818815378,0.0004252214508555903,0.0003245111072318979,0.001725503887419264,0.0009601052758792013,8.728229780720012e-05,3.0213103087107732e-05,5.13366100895885e-06,0.0011760730127611196,0.0,0.0,0.0
2020-04-02,0.9963789036448193,0.0004084363935849749,0.0003021310308710773,0.0018295712424970794,0.0009578672682431193,9.399632071544628e-05,3.0213103087107732e-05,5.779304361027558e-06,0.0011648829745807092,0.0,0.0,0.0
2020-04-03,0.9963117634157368,0.0003838183095880723,0.0002965360117808722,0.0019448286357553052,0.0009377251995183808,9.511532453348731e-05,3.133210690514876e-05,6.470920808008004e-06,0.00115481194021834,0.0,0.0,0.0
2020-04-04,0.9962580512324708,0.00033905815686643124,0.0003166780805056107,0.002061205032831572,0.0008929650467967397,9.959133980565142e-05,3.3570114541230815e-05,7.2158221079009824e-06,0.0011268368447673142,0.0,0.0,0.0
2020-04-05,0.996181958972844,0.00033905815686643124,0.00029429800414479016,0.0021652723879093875,0.0008851320200704525,9.847233598761039e-05,3.6927125995353894e-05,8.02193795692284e-06,0.0011022187607704118,0.0,0.0,0.0
2020-04-06,0.99612712778576,0.00032786811868602096,0.00027079892396592855,0.002258149704806793,0.0008717039742539602,0.00010518635889585655,4.028413744947698e-05,8.896861739453438e-06,0.0010966237416802065,0.0,0.0,0.0
2020-04-07,0.9960499165223152,0.00032339210341385683,0.0002517758590592311,0.0023666930751567723,0.0008571569246194268,0.00011078137798606169,4.1403141267518005e-05,9.847433193278379e-06,0.0010921477264080426,0.0,0.0,0.0
2020-04-08,0.9959995613505034,0.000287583981236544,0.0002629658972396414,0.002477474453142834,0.0008157537833519088,0.00011301938562214374,4.4760152721641084e-05,1.0879319428419224e-05,0.00106752964241114,0.0,0.0,0.0
2020-04-09,0.9959424921557832,0.000287583981236544,0.0002428238285149029,0.0025681137624041575,0.0007978497222632524,0.00011413838944018477,4.811716417576417e-05,1.1996929032007411e-05,0.0010373165393240322,0.0,0.0,0.0
2020-04-10,0.9958977320030616,0.0002719179277839696,0.0002226817597901644,0.0026576340678474393,0.00078442167644676,0.00011301938562214374,5.3712183265969305e-05,1.3202616809084843e-05,0.001029483512597745,0.0,0.0,0.0
2020-04-11,0.995854090854158,0.00024618083996902595,0.00022827677888036954,0.0027538683961989678,0.0007497325580874882,0.0001152573932582258,5.3712183265969305e-05,1.4495434499727497e-05,0.0010026274209647603,0.0,0.0,0.0
2020-04-12,0.9958082116976184,0.00022827677888036954,0.0002182057445180003,0.0028556977436407015,0.0007251144740905856,0.00010854337034997964,5.7069194720092384e-05,1.5869315887398257e-05,0.0009768903331498168,0.0,0.0,0.0
2020-04-13,0.9957634515448966,0.00021149172160975414,0.0002103727177917131,0.0029496940643561477,0.000701615393911724,0.00010966237416802066,5.483118708401033e-05,1.7311436837505172e-05,0.00094779623388075,0.0,0.0,0.0
2020-04-14,0.9957153343807209,0.00020142068724738487,0.00019582566815717976,0.0030604754423422093,0.0006669262755524521,0.00010406735507781553,5.7069194720092384e-05,1.8801821468746567e-05,0.0009198211384297243,0.0,0.0,0.0
2020-04-15,0.9956683362203632,0.0001935876605210977,0.00019694467197522078,0.00313768670578704,0.0006445461991916317,0.00010406735507781553,5.595019090205136e-05,2.0315142561379254e-05,0.0008694659666178781,0.0,0.0,0.0
2020-04-16,0.9956179810485514,0.00019582566815717976,0.00018687363761285154,0.0032003509195973378,0.0006411891877375086,0.00010518635889585655,5.3712183265969305e-05,2.1824441771731806e-05,0.0008526809093472627,0.0,0.0,0.0
2020-04-17,0.995579934918738,0.00019134965288501564,0.00017120758416027716,0.003298823255584948,0.0006076190731962777,9.847233598761039e-05,5.3712183265969305e-05,2.3305993695148286e-05,0.0008370148558946883,0.0,0.0,0.0
2020-04-18,0.9955474838080147,0.00018799264143089256,0.00015889854216182586,0.003370439499939574,0.0005863580006534982,9.623432835152834e-05,5.3712183265969305e-05,2.4743809093820574e-05,0.0007933737069910883,0.0,0.0,0.0
